Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,2-1,1,51.8%,1,51.8%,6,16.5%,6,16.5%,2,-32.2%,2,-32.2%,8,3.2%,8,3.2%
JAX,2-1,2,46.0%,2,46.0%,5,20.9%,5,20.9%,4,-24.9%,4,-24.9%,17,0.2%,17,0.2%
BAL,2-1,3,43.1%,3,43.1%,1,34.7%,1,34.7%,18,4.0%,18,4.0%,1,12.4%,1,12.4%
PHI,3-0,4,39.8%,4,39.8%,4,25.7%,4,25.7%,6,-18.8%,6,-18.8%,28,-4.7%,28,-4.7%
TB,2-1,5,20.3%,5,20.3%,27,-14.8%,27,-14.8%,1,-34.4%,1,-34.4%,15,0.7%,15,0.7%
DAL,2-1,6,18.5%,6,18.5%,15,-0.4%,15,-0.4%,8,-14.2%,8,-14.2%,4,4.6%,4,4.6%
CLE,2-1,7,17.4%,7,17.4%,3,27.3%,3,27.3%,23,11.6%,23,11.6%,12,1.7%,12,1.7%
KC,2-1,8,17.1%,8,17.1%,10,13.5%,10,13.5%,9,-10.0%,9,-10.0%,30,-6.5%,30,-6.5%
SF,1-2,9,16.9%,9,16.9%,23,-12.0%,23,-12.0%,3,-28.5%,3,-28.5%,16,0.4%,16,0.4%
DEN,2-1,10,10.9%,10,10.9%,22,-11.1%,22,-11.1%,5,-24.3%,5,-24.3%,25,-2.3%,25,-2.3%
MIA,3-0,11,9.9%,11,9.9%,2,27.8%,2,27.8%,24,12.8%,24,12.8%,29,-5.2%,29,-5.2%
GB,2-1,12,9.2%,12,9.2%,9,14.2%,9,14.2%,19,6.2%,19,6.2%,14,1.3%,14,1.3%
DET,1-2,13,7.7%,13,7.7%,7,15.0%,7,15.0%,22,9.2%,22,9.2%,11,1.9%,11,1.9%
ATL,1-2,14,2.2%,14,2.2%,8,14.9%,8,14.9%,27,16.2%,27,16.2%,6,3.5%,6,3.5%
LAC,1-2,15,0.4%,15,0.4%,14,1.8%,14,1.8%,15,-0.4%,15,-0.4%,23,-1.8%,23,-1.8%
PIT,1-2,16,-1.0%,16,-1.0%,16,-2.3%,16,-2.3%,12,-2.4%,12,-2.4%,21,-1.1%,21,-1.1%
MIN,2-1,17,-4.2%,17,-4.2%,11,9.7%,11,9.7%,25,12.9%,25,12.9%,20,-1.0%,20,-1.0%
CAR,1-2,18,-7.3%,18,-7.3%,25,-12.8%,25,-12.8%,14,-0.9%,14,-0.9%,5,4.6%,5,4.6%
NE,1-2,19,-7.4%,19,-7.4%,13,3.4%,13,3.4%,21,8.4%,21,8.4%,26,-2.5%,26,-2.5%
CIN,1-2,20,-9.0%,20,-9.0%,31,-24.1%,31,-24.1%,7,-15.7%,7,-15.7%,19,-0.6%,19,-0.6%
SEA,1-2,21,-11.2%,21,-11.2%,12,4.6%,12,4.6%,30,20.5%,30,20.5%,3,4.7%,3,4.7%
LAR,2-1,22,-13.4%,22,-13.4%,18,-6.1%,18,-6.1%,16,-0.3%,16,-0.3%,31,-7.6%,31,-7.6%
CHI,2-1,23,-13.6%,23,-13.6%,28,-15.3%,28,-15.3%,11,-2.9%,11,-2.9%,22,-1.2%,22,-1.2%
LV,0-3,24,-17.1%,24,-17.1%,24,-12.5%,24,-12.5%,20,6.6%,20,6.6%,10,2.1%,10,2.1%
HOU,0-2-1,25,-17.7%,25,-17.7%,30,-22.7%,30,-22.7%,17,0.3%,17,0.3%,2,5.2%,2,5.2%
TEN,1-2,26,-19.3%,26,-19.3%,17,-2.6%,17,-2.6%,26,14.5%,26,14.5%,24,-2.2%,24,-2.2%
NO,1-2,27,-19.6%,27,-19.6%,26,-12.9%,26,-12.9%,10,-3.6%,10,-3.6%,32,-10.2%,32,-10.2%
NYG,2-1,28,-22.7%,28,-22.7%,20,-7.5%,20,-7.5%,28,16.6%,28,16.6%,13,1.4%,13,1.4%
NYJ,1-2,29,-25.8%,29,-25.8%,19,-7.3%,19,-7.3%,32,22.0%,32,22.0%,7,3.4%,7,3.4%
IND,1-1-1,30,-25.8%,30,-25.8%,32,-29.6%,32,-29.6%,13,-1.4%,13,-1.4%,9,2.3%,9,2.3%
ARI,1-2,31,-34.3%,31,-34.3%,21,-8.9%,21,-8.9%,31,22.0%,31,22.0%,27,-3.5%,27,-3.5%
WAS,1-2,32,-35.4%,32,-35.4%,29,-18.2%,29,-18.2%,29,17.2%,29,17.2%,18,0.0%,18,0.0%

