Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DAL,11-4,1,29.7%,1,31.8%,8,10.8%,10,6.0%,1,-16.5%,1,-21.0%,4,2.4%,4,4.7%
TB,11-4,2,29.1%,3,27.5%,1,25.3%,2,21.7%,7,-6.2%,8,-8.9%,25,-2.5%,29,-3.2%
BUF,9-6,3,28.6%,2,30.0%,6,11.7%,4,15.5%,2,-15.9%,4,-12.7%,11,1.1%,10,1.8%
LAR,11-4,4,22.9%,7,22.1%,7,11.4%,12,4.2%,6,-9.6%,5,-12.6%,5,2.0%,1,5.3%
NE,9-6,5,19.3%,4,26.8%,13,5.8%,8,9.7%,3,-14.3%,2,-18.2%,19,-0.7%,23,-1.2%
KC,11-4,6,17.1%,5,24.1%,4,13.8%,6,11.6%,16,0.3%,10,-8.7%,2,3.5%,5,3.8%
SF,8-7,7,16.3%,9,18.9%,5,13.8%,5,13.7%,10,-5.1%,9,-8.7%,27,-2.6%,30,-3.5%
IND,9-6,8,15.3%,6,22.7%,9,9.2%,7,11.4%,9,-5.7%,6,-10.5%,15,0.5%,15,0.8%
ARI,10-5,9,13.4%,14,4.5%,16,3.5%,19,-2.9%,5,-9.7%,11,-7.8%,17,0.2%,20,-0.5%
GB,12-3,10,12.0%,8,19.2%,2,20.9%,1,25.4%,21,3.1%,19,-0.2%,32,-5.8%,32,-6.4%
PHI,8-7,11,8.4%,10,9.6%,10,8.9%,9,8.3%,15,0.2%,16,-1.5%,18,-0.4%,16,-0.2%
LAC,8-7,12,6.5%,11,7.7%,3,17.3%,3,18.6%,26,7.2%,28,8.5%,30,-3.6%,25,-2.4%
MIN,7-8,13,4.3%,15,4.1%,17,3.3%,14,1.6%,13,-0.7%,14,-1.7%,16,0.3%,14,0.8%
NO,7-8,14,4.2%,17,-1.5%,24,-9.9%,26,-15.5%,4,-13.0%,3,-13.1%,12,1.1%,13,0.8%
SEA,5-10,15,3.5%,16,-0.4%,11,7.3%,15,1.4%,25,5.8%,24,4.9%,6,2.0%,7,3.1%
CLE,7-8,16,3.0%,18,-3.0%,14,5.1%,18,-1.6%,17,0.8%,18,-0.9%,22,-1.3%,24,-2.3%
DEN,7-8,17,1.3%,13,5.0%,12,5.9%,11,5.4%,19,1.3%,13,-2.2%,29,-3.3%,27,-2.6%
CIN,9-6,18,1.1%,12,5.2%,18,-0.9%,13,1.6%,14,-0.4%,15,-1.7%,7,1.7%,8,2.0%
BAL,8-7,19,-1.4%,22,-7.8%,15,4.1%,17,-0.4%,28,10.5%,31,12.5%,1,5.0%,2,5.1%
TEN,10-5,20,-6.2%,20,-4.1%,22,-7.4%,22,-9.9%,11,-2.4%,12,-6.3%,21,-1.2%,21,-0.6%
LV,8-7,21,-6.8%,21,-5.5%,19,-1.0%,16,0.3%,22,3.4%,22,3.4%,26,-2.5%,26,-2.5%
MIA,8-7,22,-8.7%,19,-3.6%,25,-11.7%,23,-11.1%,8,-6.0%,7,-10.4%,28,-3.0%,28,-2.9%
PIT,7-7-1,23,-12.1%,26,-17.9%,23,-7.9%,24,-11.6%,24,3.4%,25,5.8%,20,-0.8%,19,-0.5%
WAS,6-9,24,-14.2%,25,-16.6%,20,-5.8%,21,-8.9%,27,9.1%,27,7.3%,14,0.7%,18,-0.4%
CHI,5-10,25,-14.5%,23,-14.5%,26,-12.4%,25,-12.5%,23,3.4%,23,4.0%,10,1.3%,9,1.9%
NYJ,4-11,26,-20.0%,24,-16.1%,21,-6.8%,20,-4.2%,32,16.4%,32,16.8%,3,3.2%,3,4.8%
NYG,4-11,27,-21.6%,28,-25.8%,30,-20.2%,32,-28.1%,20,2.2%,17,-1.4%,13,0.8%,12,0.9%
CAR,5-10,28,-22.6%,32,-29.7%,31,-22.6%,31,-27.4%,12,-1.7%,21,1.4%,23,-1.7%,22,-0.9%
HOU,4-11,29,-24.1%,27,-23.4%,32,-24.4%,30,-26.2%,18,1.2%,20,0.7%,9,1.4%,6,3.5%
DET,2-12-1,30,-28.7%,30,-29.5%,29,-19.3%,29,-22.1%,29,10.9%,29,9.0%,8,1.5%,11,1.7%
JAX,2-13,31,-30.1%,29,-28.9%,27,-14.1%,27,-15.8%,30,10.9%,26,7.0%,31,-5.0%,31,-6.2%
ATL,7-8,32,-33.7%,30,-29.5%,28,-18.3%,28,-17.7%,31,13.0%,30,11.5%,24,-2.4%,17,-0.3%

