Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,5-1,1,44.5%,1,43.3%,2,20.5%,2,20.4%,1,-21.6%,2,-20.7%,8,2.4%,8,2.2%
PHI,6-0,2,29.0%,2,29.1%,4,13.9%,4,13.9%,4,-17.7%,3,-17.8%,25,-2.6%,25,-2.5%
DAL,5-2,3,24.1%,3,24.7%,18,-1.7%,18,-1.2%,2,-21.3%,1,-21.4%,2,4.5%,3,4.5%
KC,5-2,4,21.2%,4,21.1%,1,27.6%,1,27.6%,26,6.8%,26,7.0%,16,0.4%,16,0.4%
BAL,4-3,5,20.8%,5,20.4%,5,12.2%,5,11.7%,12,-0.8%,12,-1.0%,1,7.8%,1,7.7%
CIN,4-3,6,14.9%,6,16.3%,13,5.2%,13,6.5%,6,-9.5%,6,-9.6%,17,0.2%,17,0.2%
SEA,4-3,7,11.4%,7,12.2%,3,14.1%,3,14.6%,19,2.7%,17,2.3%,20,0.1%,20,-0.1%
TB,3-4,8,8.6%,8,7.9%,19,-2.5%,20,-2.1%,5,-12.6%,5,-11.6%,24,-1.5%,24,-1.6%
JAX,2-5,9,5.6%,9,4.9%,11,7.1%,10,6.9%,18,2.3%,20,3.0%,13,0.8%,13,0.9%
SF,3-4,10,4.8%,10,4.5%,17,0.2%,16,0.6%,7,-7.4%,8,-6.9%,26,-2.8%,26,-3.0%
NYJ,5-2,11,3.6%,11,4.3%,21,-3.7%,22,-3.7%,10,-2.9%,10,-3.4%,3,4.5%,2,4.5%
MIA,4-3,12,2.6%,12,2.3%,6,11.8%,7,11.3%,20,3.0%,19,2.9%,32,-6.2%,32,-6.1%
LAC,4-3,13,0.4%,14,-0.4%,16,0.5%,17,0.4%,17,1.6%,18,2.3%,9,1.5%,10,1.5%
NYG,6-1,14,-0.2%,13,0.2%,7,10.9%,6,11.5%,29,11.8%,29,11.9%,14,0.7%,15,0.6%
CLE,2-5,15,-0.9%,16,-1.4%,8,10.7%,8,10.3%,28,10.7%,28,10.6%,23,-0.8%,23,-1.0%
NE,3-4,16,-1.1%,17,-1.4%,23,-7.1%,23,-7.4%,9,-5.4%,9,-5.3%,15,0.6%,14,0.6%
TEN,4-2,17,-1.8%,15,-0.8%,22,-3.9%,21,-3.2%,13,-0.6%,13,-0.8%,10,1.4%,9,1.7%
MIN,5-1,18,-1.9%,18,-1.8%,14,4.5%,14,4.5%,24,5.6%,24,5.4%,22,-0.8%,22,-0.9%
LV,2-4,19,-2.5%,19,-1.9%,12,5.7%,12,6.6%,27,9.2%,27,9.4%,11,1.0%,11,0.9%
GB,3-4,20,-2.8%,20,-3.2%,10,7.1%,11,6.8%,25,5.8%,25,5.7%,29,-4.2%,30,-4.3%
ATL,3-4,21,-3.8%,21,-3.7%,9,9.0%,9,9.2%,32,17.0%,31,17.0%,4,4.1%,4,4.2%
DEN,2-5,22,-4.1%,22,-4.5%,29,-16.8%,30,-17.1%,3,-17.8%,4,-17.7%,31,-5.1%,31,-5.1%
LAR,3-3,23,-7.2%,23,-6.8%,25,-10.5%,25,-10.3%,8,-7.4%,7,-7.4%,30,-4.2%,28,-3.8%
PIT,2-5,24,-8.6%,24,-9.0%,24,-9.2%,24,-9.2%,14,-0.5%,14,0.0%,19,0.1%,18,0.1%
NO,2-5,25,-10.1%,25,-9.9%,20,-2.6%,19,-2.0%,22,3.5%,22,3.7%,28,-4.1%,29,-4.1%
DET,1-5,26,-14.4%,27,-15.9%,15,2.1%,15,1.4%,31,16.6%,32,17.2%,18,0.1%,21,-0.1%
WAS,3-4,27,-15.5%,26,-15.2%,28,-16.7%,29,-16.9%,16,1.2%,16,1.0%,7,2.5%,7,2.7%
CHI,3-4,28,-17.2%,28,-16.7%,31,-20.3%,31,-20.2%,15,0.5%,15,0.2%,5,3.5%,5,3.7%
ARI,3-4,29,-18.1%,29,-17.7%,26,-11.7%,26,-11.5%,21,3.3%,21,3.0%,27,-3.1%,27,-3.2%
CAR,2-5,30,-19.9%,30,-20.0%,30,-17.1%,28,-16.6%,23,3.8%,23,4.3%,12,0.9%,12,0.9%
IND,3-3-1,31,-24.6%,31,-23.8%,32,-26.8%,32,-26.3%,11,-2.3%,11,-2.6%,21,-0.2%,19,-0.1%
HOU,1-4-1,32,-24.9%,32,-24.8%,27,-13.0%,27,-12.9%,30,15.1%,30,15.3%,6,3.3%,6,3.4%

