Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,6-1,1,36.0%,2,34.8%,4,15.4%,4,15.7%,4,-17.6%,4,-16.1%,5,3.1%,4,3.0%
PHI,7-0,2,34.6%,1,36.1%,3,17.2%,2,17.8%,2,-19.5%,1,-20.2%,26,-2.1%,23,-1.9%
DAL,6-2,3,27.8%,3,30.3%,12,5.3%,10,7.1%,3,-18.2%,3,-18.7%,2,4.3%,2,4.4%
BAL,5-3,4,22.4%,4,20.8%,2,17.5%,3,16.6%,17,2.2%,17,2.8%,1,7.1%,1,7.1%
KC,5-2,5,19.6%,5,19.8%,1,25.7%,1,26.0%,24,6.2%,24,6.9%,17,0.2%,13,0.6%
SEA,5-3,6,16.4%,6,17.7%,7,12.1%,7,12.6%,11,-2.6%,11,-3.8%,9,1.7%,12,1.3%
SF,4-4,7,10.6%,7,11.5%,13,4.8%,11,6.9%,7,-7.3%,8,-6.2%,21,-1.5%,21,-1.7%
TB,3-5,8,7.0%,10,5.2%,18,-0.1%,18,0.4%,5,-9.0%,7,-6.9%,24,-1.9%,25,-2.1%
CLE,3-5,9,5.6%,9,5.4%,6,14.5%,5,14.4%,27,7.3%,25,7.0%,22,-1.6%,24,-2.0%
CIN,4-4,10,4.7%,8,6.8%,17,0.7%,15,3.5%,9,-5.7%,9,-5.0%,23,-1.8%,22,-1.7%
NYJ,5-3,11,3.2%,11,5.1%,21,-5.3%,21,-4.4%,8,-6.8%,6,-7.7%,10,1.7%,9,1.9%
MIA,5-3,12,2.9%,12,1.7%,5,14.6%,6,14.3%,25,6.6%,27,7.4%,32,-5.0%,31,-5.2%
GB,3-5,13,1.2%,13,1.7%,8,10.4%,8,10.8%,22,4.3%,20,3.9%,31,-4.8%,32,-5.2%
NE,4-4,14,1.1%,14,1.6%,24,-10.4%,24,-10.2%,6,-8.7%,5,-8.9%,7,2.8%,5,2.9%
DEN,3-5,15,1.0%,15,0.6%,27,-14.3%,28,-14.3%,1,-19.7%,2,-19.4%,28,-4.4%,30,-4.4%
LAC,4-3,16,0.5%,16,-0.6%,16,1.1%,17,1.5%,16,1.8%,19,3.6%,12,1.2%,11,1.5%
JAX,2-6,17,0.2%,17,-0.7%,15,2.7%,16,2.4%,20,4.0%,22,4.9%,11,1.5%,10,1.8%
MIN,6-1,18,-0.2%,18,-1.3%,11,6.0%,13,5.4%,21,4.1%,21,4.4%,25,-2.0%,26,-2.3%
TEN,5-2,19,-3.2%,20,-2.9%,22,-7.5%,22,-7.7%,10,-4.5%,10,-4.9%,20,-0.3%,18,0.0%
ATL,4-4,20,-3.5%,22,-4.5%,9,8.5%,9,8.0%,31,15.1%,31,15.4%,4,3.1%,6,2.9%
NYG,6-2,21,-3.6%,19,-2.4%,14,3.9%,14,4.3%,28,7.9%,26,7.1%,13,0.4%,15,0.4%
NO,3-5,22,-4.0%,21,-3.0%,19,-1.7%,20,-1.1%,12,-2.4%,12,-2.5%,30,-4.7%,29,-4.4%
DET,1-6,23,-11.5%,26,-13.9%,10,6.9%,12,5.8%,32,18.4%,32,19.5%,19,-0.1%,20,-0.2%
LAR,3-4,24,-12.4%,23,-11.7%,23,-10.1%,23,-9.3%,13,-2.1%,13,-1.9%,29,-4.4%,28,-4.4%
WAS,4-4,25,-13.3%,25,-13.0%,30,-15.5%,30,-15.7%,15,-0.1%,15,-0.4%,8,2.1%,8,2.2%
LV,2-5,26,-13.3%,24,-11.8%,20,-2.0%,19,-0.2%,29,11.7%,29,11.9%,14,0.4%,16,0.3%
PIT,2-6,27,-15.4%,29,-17.7%,25,-11.2%,26,-11.3%,23,4.4%,23,6.6%,16,0.2%,17,0.2%
CAR,2-6,28,-17.3%,28,-17.3%,28,-14.7%,27,-14.0%,18,2.7%,18,3.2%,18,0.0%,19,-0.1%
CHI,3-5,29,-18.6%,30,-19.1%,29,-15.4%,29,-15.1%,26,6.8%,28,8.2%,3,3.6%,3,4.1%
ARI,3-5,30,-18.7%,27,-16.9%,26,-11.8%,25,-11.2%,19,3.9%,16,2.6%,27,-3.0%,27,-3.1%
IND,3-4-1,31,-24.3%,31,-23.9%,32,-25.3%,32,-24.9%,14,-0.7%,14,-0.6%,15,0.3%,14,0.5%
HOU,1-5-1,32,-29.2%,32,-30.0%,31,-18.9%,31,-19.1%,30,13.2%,30,13.5%,6,3.0%,7,2.7%

