Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,3-1,1,42.1%,1,42.1%,10,10.0%,10,10.0%,2,-28.0%,2,-28.0%,3,4.1%,3,4.1%
PHI,4-0,2,38.2%,2,38.2%,4,17.9%,4,17.9%,3,-24.8%,3,-24.8%,30,-4.5%,30,-4.5%
BAL,2-2,3,30.1%,3,30.1%,1,23.1%,1,23.1%,16,2.7%,16,2.7%,1,9.7%,1,9.7%
JAX,2-2,4,20.2%,4,20.2%,12,5.7%,12,5.7%,6,-14.3%,6,-14.3%,16,0.2%,16,0.2%
TB,2-2,5,20.0%,5,20.0%,15,1.7%,15,1.7%,4,-20.8%,4,-20.8%,27,-2.5%,27,-2.5%
DAL,3-1,6,19.6%,6,19.6%,17,0.7%,17,0.7%,5,-15.3%,5,-15.3%,6,3.5%,6,3.5%
SF,2-2,7,19.2%,7,19.2%,21,-7.4%,21,-7.4%,1,-29.5%,1,-29.5%,28,-2.9%,28,-2.9%
KC,3-1,8,13.9%,8,13.9%,5,17.6%,5,17.6%,14,2.1%,14,2.1%,24,-1.7%,24,-1.7%
GB,3-1,9,9.7%,9,9.7%,8,13.3%,8,13.3%,17,2.9%,17,2.9%,21,-0.8%,21,-0.8%
LAC,2-2,10,7.0%,10,7.0%,11,7.9%,11,7.9%,11,-1.5%,11,-1.5%,26,-2.3%,26,-2.3%
ATL,2-2,11,6.7%,11,6.7%,9,11.0%,9,11.0%,22,8.1%,22,8.1%,4,3.9%,4,3.9%
CLE,2-2,12,5.7%,12,5.7%,6,16.3%,6,16.3%,30,11.4%,30,11.4%,13,0.8%,13,0.8%
SEA,2-2,13,4.7%,13,4.7%,3,20.6%,3,20.6%,31,17.6%,31,17.6%,10,1.7%,10,1.7%
MIA,3-1,14,3.8%,14,3.8%,2,20.6%,2,20.6%,28,10.7%,28,10.7%,31,-6.1%,31,-6.1%
DEN,2-2,15,-0.4%,15,-0.4%,24,-10.3%,24,-10.3%,8,-10.9%,8,-10.9%,22,-1.0%,22,-1.0%
CIN,2-2,16,-1.2%,16,-1.2%,27,-14.5%,27,-14.5%,7,-12.1%,7,-12.1%,11,1.2%,11,1.2%
MIN,3-1,17,-2.3%,17,-2.3%,13,5.2%,13,5.2%,26,10.2%,26,10.2%,7,2.7%,7,2.7%
DET,1-3,18,-3.0%,18,-3.0%,7,15.0%,7,15.0%,32,18.8%,32,18.8%,14,0.7%,14,0.7%
NE,1-3,19,-4.4%,19,-4.4%,18,-0.5%,18,-0.5%,19,4.4%,19,4.4%,15,0.5%,15,0.5%
TEN,2-2,20,-5.5%,20,-5.5%,14,2.0%,14,2.0%,21,7.0%,21,7.0%,19,-0.5%,19,-0.5%
PIT,1-3,21,-7.3%,21,-7.3%,25,-10.3%,25,-10.3%,10,-3.2%,10,-3.2%,18,-0.1%,18,-0.1%
NO,1-3,22,-8.8%,22,-8.8%,19,-5.6%,19,-5.6%,9,-4.4%,9,-4.4%,32,-7.7%,32,-7.7%
NYG,3-1,23,-9.3%,23,-9.3%,16,0.8%,16,0.8%,23,8.2%,23,8.2%,25,-1.8%,25,-1.8%
LV,1-3,24,-11.7%,24,-11.7%,20,-6.0%,20,-6.0%,20,5.0%,20,5.0%,20,-0.7%,20,-0.7%
NYJ,2-2,25,-13.5%,25,-13.5%,23,-9.0%,23,-9.0%,25,9.3%,25,9.3%,2,4.8%,2,4.8%
LAR,2-2,26,-17.5%,26,-17.5%,26,-10.5%,26,-10.5%,18,3.0%,18,3.0%,29,-3.9%,29,-3.9%
CHI,2-2,27,-18.8%,27,-18.8%,29,-18.7%,29,-18.7%,15,2.6%,15,2.6%,8,2.5%,8,2.5%
CAR,1-3,28,-19.8%,28,-19.8%,31,-22.7%,31,-22.7%,12,-0.9%,12,-0.9%,9,2.0%,9,2.0%
ARI,2-2,29,-21.3%,29,-21.3%,22,-8.5%,22,-8.5%,29,11.3%,29,11.3%,23,-1.5%,23,-1.5%
WAS,1-3,30,-24.7%,30,-24.7%,28,-17.5%,28,-17.5%,24,8.2%,24,8.2%,12,1.1%,12,1.1%
HOU,0-3-1,31,-25.7%,31,-25.7%,30,-19.1%,30,-19.1%,27,10.4%,27,10.4%,5,3.8%,5,3.8%
IND,1-2-1,32,-30.9%,32,-30.9%,32,-30.0%,32,-30.0%,13,0.8%,13,0.8%,17,0.0%,17,0.0%

