Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,4-2,1,36.8%,1,37.9%,10,7.1%,9,8.1%,1,-30.2%,1,-30.1%,12,-0.5%,11,-0.3%
ARI,7-0,2,32.3%,2,32.2%,8,9.5%,8,9.4%,2,-20.9%,2,-20.9%,5,1.9%,5,1.9%
LAR,6-1,3,32.2%,3,31.9%,2,25.4%,2,25.2%,4,-11.1%,4,-10.9%,29,-4.4%,29,-4.2%
TB,6-1,4,30.7%,4,30.2%,1,25.9%,1,26.0%,7,-7.0%,7,-6.7%,23,-2.3%,23,-2.5%
DAL,5-1,5,24.1%,5,24.2%,3,20.4%,3,20.2%,10,-5.4%,9,-5.5%,18,-1.7%,17,-1.5%
CLE,4-3,6,17.7%,6,18.0%,6,14.7%,6,14.2%,15,-0.8%,15,-1.4%,4,2.2%,4,2.3%
NO,4-2,7,15.5%,7,15.6%,20,-1.3%,19,-0.8%,3,-16.5%,3,-16.4%,9,0.3%,9,0.1%
BAL,5-2,8,12.0%,8,12.3%,9,7.9%,10,8.0%,20,2.4%,20,2.2%,1,6.5%,1,6.5%
CIN,5-2,9,10.2%,9,10.6%,18,-0.3%,18,0.3%,5,-10.1%,5,-10.0%,8,0.4%,8,0.3%
GB,6-1,10,8.7%,10,9.8%,4,17.8%,4,18.4%,24,5.0%,23,4.4%,27,-4.1%,28,-4.2%
SEA,2-5,11,8.6%,11,8.1%,7,12.8%,7,12.3%,21,3.0%,21,3.1%,16,-1.2%,16,-1.1%
MIN,3-3,12,8.0%,12,7.8%,12,5.1%,12,4.8%,6,-8.9%,6,-9.2%,30,-5.9%,30,-6.1%
SF,2-4,13,3.9%,15,3.5%,16,1.6%,17,1.3%,13,-2.8%,13,-2.8%,13,-0.5%,14,-0.6%
IND,3-4,14,3.8%,13,4.6%,17,1.4%,15,2.1%,12,-4.5%,11,-4.8%,22,-2.0%,22,-2.2%
NE,3-4,15,3.8%,14,4.1%,15,1.7%,14,2.2%,14,-2.7%,14,-2.5%,14,-0.5%,13,-0.5%
PIT,3-3,16,0.5%,17,-0.1%,22,-4.0%,22,-4.4%,9,-5.5%,10,-5.3%,15,-1.0%,15,-0.9%
LAC,4-2,17,-0.2%,16,0.2%,11,6.4%,11,6.9%,17,-0.5%,16,-0.6%,32,-7.2%,32,-7.2%
KC,3-4,18,-1.9%,18,-2.1%,5,14.8%,5,14.3%,31,18.5%,31,18.2%,6,1.8%,6,1.8%
LV,5-2,19,-2.4%,19,-2.5%,19,-1.1%,20,-1.1%,16,-0.6%,17,-0.6%,21,-1.9%,21,-2.0%
TEN,5-2,20,-4.0%,20,-3.1%,13,2.6%,13,3.0%,22,4.7%,22,4.3%,20,-1.9%,19,-1.7%
PHI,2-5,21,-9.3%,21,-9.9%,21,-2.9%,21,-3.0%,23,4.9%,24,5.3%,17,-1.5%,18,-1.5%
DEN,3-4,22,-10.2%,22,-11.1%,14,1.9%,16,1.4%,26,9.0%,27,9.4%,25,-3.1%,24,-3.0%
WAS,2-5,23,-14.1%,23,-14.9%,23,-6.7%,24,-7.1%,28,10.6%,28,10.8%,2,3.2%,2,3.1%
CHI,3-4,24,-14.9%,24,-15.4%,29,-21.8%,29,-21.9%,8,-6.8%,8,-6.4%,10,0.1%,10,0.0%
NYG,2-5,25,-16.6%,25,-16.6%,27,-15.5%,27,-15.9%,19,1.6%,18,1.1%,7,0.6%,7,0.5%
CAR,3-4,26,-21.4%,26,-22.9%,30,-22.2%,30,-23.0%,11,-5.0%,12,-4.1%,28,-4.2%,27,-4.0%
DET,0-7,27,-23.4%,27,-23.0%,28,-16.4%,28,-16.7%,27,9.6%,26,9.0%,3,2.6%,3,2.7%
MIA,1-6,28,-25.7%,28,-26.0%,26,-15.3%,26,-15.0%,25,7.3%,25,7.9%,24,-3.0%,25,-3.1%
JAX,1-5,29,-30.7%,29,-29.6%,24,-6.7%,23,-5.4%,32,22.2%,32,22.3%,19,-1.8%,20,-1.9%
HOU,1-6,30,-34.0%,30,-35.0%,32,-28.8%,32,-29.5%,18,1.5%,19,1.8%,26,-3.8%,26,-3.8%
ATL,3-3,31,-38.7%,31,-37.4%,25,-14.9%,25,-13.6%,30,17.2%,30,17.1%,31,-6.6%,31,-6.7%
NYJ,1-5,32,-42.2%,32,-42.1%,31,-28.4%,31,-28.2%,29,13.3%,29,13.6%,11,-0.4%,12,-0.4%

