Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,2-0,1,80.4%,1,80.4%,7,21.6%,7,21.6%,1,-48.8%,1,-48.8%,2,10.0%,2,10.0%
JAX,1-1,2,48.4%,2,48.4%,9,18.6%,9,18.6%,3,-30.6%,3,-30.6%,22,-0.9%,22,-0.9%
BAL,1-1,3,34.8%,3,34.8%,1,31.9%,1,31.9%,21,9.9%,21,9.9%,1,12.8%,1,12.8%
KC,2-0,4,32.2%,4,32.2%,3,30.0%,3,30.0%,14,0.2%,14,0.2%,11,2.4%,11,2.4%
PHI,2-0,5,31.7%,5,31.7%,5,27.3%,5,27.3%,9,-9.6%,9,-9.6%,28,-5.1%,28,-5.1%
TB,2-0,6,28.0%,6,28.0%,27,-16.8%,27,-16.8%,2,-45.1%,2,-45.1%,20,-0.4%,20,-0.4%
LAC,1-1,7,23.6%,7,23.6%,10,10.3%,10,10.3%,7,-14.3%,7,-14.3%,23,-1.0%,23,-1.0%
CLE,1-1,8,23.4%,8,23.4%,4,29.0%,4,29.0%,22,9.9%,22,9.9%,5,4.3%,5,4.3%
DET,1-1,9,22.1%,9,22.1%,8,19.5%,8,19.5%,17,5.0%,17,5.0%,3,7.5%,3,7.5%
SF,1-1,10,20.2%,10,20.2%,17,-3.9%,17,-3.9%,4,-22.8%,4,-22.8%,16,1.3%,16,1.3%
DEN,1-1,11,17.5%,11,17.5%,14,0.1%,14,0.1%,5,-21.2%,5,-21.2%,26,-3.8%,26,-3.8%
GB,1-1,12,16.5%,12,16.5%,6,25.5%,6,25.5%,23,10.5%,23,10.5%,14,1.4%,14,1.4%
NE,1-1,13,13.4%,13,13.4%,11,7.4%,11,7.4%,11,-5.3%,11,-5.3%,18,0.7%,18,0.7%
MIA,2-0,14,8.5%,14,8.5%,2,30.4%,2,30.4%,26,14.2%,26,14.2%,31,-7.8%,31,-7.8%
DAL,1-1,15,2.7%,15,2.7%,28,-17.8%,28,-17.8%,6,-17.2%,6,-17.2%,9,3.3%,9,3.3%
PIT,1-1,16,-1.7%,16,-1.7%,22,-13.6%,22,-13.6%,8,-10.6%,8,-10.6%,15,1.4%,15,1.4%
ATL,0-2,17,-3.4%,17,-3.4%,12,7.2%,12,7.2%,24,13.1%,24,13.1%,10,2.5%,10,2.5%
NYG,2-0,18,-8.2%,18,-8.2%,18,-6.5%,18,-6.5%,20,6.7%,20,6.7%,4,5.0%,4,5.0%
CAR,0-2,19,-12.4%,19,-12.4%,23,-15.6%,23,-15.6%,12,-1.7%,12,-1.7%,13,1.5%,13,1.5%
LV,0-2,20,-13.4%,20,-13.4%,24,-16.0%,24,-16.0%,15,0.8%,15,0.8%,8,3.4%,8,3.4%
HOU,0-1-1,21,-16.6%,21,-16.6%,26,-16.2%,26,-16.2%,16,1.4%,16,1.4%,17,1.0%,17,1.0%
NO,1-1,22,-18.9%,22,-18.9%,25,-16.1%,25,-16.1%,13,-0.2%,13,-0.2%,25,-3.0%,25,-3.0%
MIN,1-1,23,-19.1%,23,-19.1%,16,-1.3%,16,-1.3%,30,21.6%,30,21.6%,6,3.7%,6,3.7%
WAS,1-1,24,-20.3%,24,-20.3%,15,-0.1%,15,-0.1%,28,16.2%,28,16.2%,27,-4.0%,27,-4.0%
NYJ,1-1,25,-22.8%,25,-22.8%,13,5.3%,13,5.3%,32,29.6%,32,29.6%,12,1.5%,12,1.5%
SEA,1-1,26,-23.6%,26,-23.6%,21,-13.1%,21,-13.1%,25,14.2%,25,14.2%,7,3.7%,7,3.7%
CIN,0-2,27,-29.3%,27,-29.3%,32,-35.7%,32,-35.7%,10,-6.1%,10,-6.1%,19,0.3%,19,0.3%
ARI,1-1,28,-31.6%,28,-31.6%,19,-8.7%,19,-8.7%,31,22.5%,31,22.5%,21,-0.4%,21,-0.4%
LAR,1-1,29,-31.6%,29,-31.6%,20,-11.8%,20,-11.8%,19,6.6%,19,6.6%,32,-13.3%,32,-13.3%
CHI,1-1,30,-36.9%,30,-36.9%,30,-21.1%,30,-21.1%,27,14.3%,27,14.3%,24,-1.6%,24,-1.6%
IND,0-1-1,31,-42.9%,31,-42.9%,31,-30.8%,31,-30.8%,18,5.8%,18,5.8%,29,-6.3%,29,-6.3%
TEN,0-2,32,-43.7%,32,-43.7%,29,-19.2%,29,-19.2%,29,17.9%,29,17.9%,30,-6.5%,30,-6.5%

