Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,6-3,1,31.9%,1,32.8%,14,4.6%,13,5.6%,1,-25.3%,1,-24.5%,3,2.0%,3,2.7%
TB,6-3,2,27.2%,2,26.1%,1,24.6%,1,23.6%,9,-4.4%,11,-4.6%,23,-1.8%,24,-2.1%
DAL,7-2,3,26.6%,3,26.0%,4,14.6%,3,12.7%,4,-13.7%,2,-14.8%,22,-1.6%,22,-1.4%
ARI,8-2,4,24.1%,5,21.9%,11,7.7%,11,6.0%,2,-14.7%,4,-14.5%,5,1.7%,7,1.4%
NE,6-4,5,18.9%,4,23.4%,16,4.2%,10,7.0%,5,-13.5%,3,-14.7%,8,1.2%,4,1.8%
LAR,7-3,6,17.9%,7,15.4%,2,15.2%,4,12.4%,7,-5.8%,8,-5.7%,26,-3.2%,25,-2.7%
SF,4-5,7,16.7%,6,18.1%,3,14.9%,2,15.1%,13,-1.2%,13,-2.4%,10,0.6%,13,0.5%
NO,5-4,8,15.4%,8,14.4%,15,4.5%,15,4.5%,6,-10.8%,6,-9.9%,15,0.1%,16,0.0%
MIN,4-5,9,12.4%,9,13.7%,12,6.4%,12,5.8%,8,-5.5%,7,-7.3%,11,0.4%,12,0.6%
IND,5-5,10,7.2%,10,10.2%,17,4.0%,14,5.4%,10,-3.4%,9,-4.9%,18,-0.2%,17,-0.1%
GB,8-2,11,6.1%,11,8.2%,7,9.3%,7,9.2%,11,-2.1%,10,-4.7%,30,-5.4%,30,-5.7%
BAL,6-3,12,5.8%,12,6.0%,10,7.7%,9,7.5%,25,5.2%,21,4.3%,2,3.2%,2,2.7%
SEA,3-6,13,5.1%,17,1.8%,9,8.1%,16,3.5%,21,3.4%,19,2.5%,12,0.4%,9,0.8%
PHI,4-6,14,3.8%,13,4.0%,8,8.3%,6,9.3%,19,3.0%,20,3.8%,21,-1.5%,23,-1.6%
KC,6-4,15,3.5%,14,3.8%,5,11.4%,8,9.0%,30,11.1%,29,8.8%,1,3.3%,1,3.5%
LAC,5-4,16,2.5%,15,3.1%,6,11.0%,5,11.3%,18,2.2%,16,1.9%,31,-6.4%,31,-6.3%
CLE,5-5,17,1.1%,18,-1.7%,13,5.8%,17,3.3%,26,6.4%,26,6.6%,4,1.7%,6,1.6%
TEN,8-2,18,-0.2%,16,2.6%,19,-1.7%,19,-1.7%,12,-1.5%,12,-3.6%,16,0.0%,10,0.7%
DEN,5-5,19,-6.1%,20,-8.8%,18,3.3%,18,2.5%,24,4.2%,25,6.0%,29,-5.2%,29,-5.3%
CAR,5-5,20,-6.5%,22,-10.1%,30,-19.7%,30,-22.4%,3,-14.2%,5,-12.6%,19,-1.1%,18,-0.2%
PIT,5-3-1,21,-7.7%,19,-7.4%,22,-6.2%,22,-6.6%,14,0.2%,15,-0.1%,20,-1.3%,20,-0.9%
WAS,3-6,22,-9.3%,21,-9.9%,20,-1.8%,20,-2.8%,27,9.1%,28,8.0%,6,1.5%,8,0.9%
LV,5-4,23,-11.1%,24,-11.8%,21,-4.0%,21,-3.6%,23,3.9%,22,4.7%,27,-3.2%,27,-3.5%
NYG,3-6,24,-11.2%,23,-10.4%,25,-11.4%,26,-12.8%,15,0.6%,14,-1.8%,9,0.8%,11,0.7%
CIN,5-4,25,-12.3%,25,-15.1%,23,-9.0%,24,-8.9%,20,3.3%,24,5.6%,17,-0.1%,19,-0.6%
CHI,3-6,26,-18.9%,26,-18.5%,27,-15.7%,27,-13.6%,22,3.5%,23,5.2%,13,0.3%,15,0.4%
MIA,3-7,27,-20.0%,28,-20.8%,28,-16.0%,29,-15.7%,16,1.2%,17,2.2%,25,-2.8%,26,-2.9%
JAX,2-7,28,-24.6%,27,-20.5%,24,-9.5%,23,-7.4%,28,10.4%,27,7.9%,28,-4.8%,28,-5.2%
DET,0-8-1,29,-30.5%,29,-31.9%,31,-21.4%,31,-24.3%,29,10.4%,30,9.2%,7,1.4%,5,1.7%
HOU,1-8,30,-31.4%,31,-34.1%,32,-27.3%,32,-30.4%,17,2.1%,18,2.4%,24,-2.0%,21,-1.3%
NYJ,2-7,31,-32.1%,30,-32.2%,26,-11.8%,25,-9.9%,32,20.6%,32,22.7%,14,0.3%,14,0.4%
ATL,4-5,32,-38.9%,32,-36.9%,29,-17.4%,28,-15.1%,31,13.3%,31,13.3%,32,-8.2%,32,-8.5%

