Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,4-1,1,47.9%,1,47.9%,12,5.7%,12,5.7%,1,-43.3%,1,-43.3%,16,-1.0%,16,-1.0%
DAL,4-1,2,32.4%,2,32.4%,4,22.3%,4,22.3%,6,-10.3%,6,-10.3%,13,-0.3%,13,-0.3%
ARI,5-0,3,29.6%,3,29.6%,8,12.2%,8,12.2%,4,-14.3%,4,-14.3%,3,3.0%,3,3.0%
TB,4-1,4,24.9%,4,24.9%,2,26.9%,2,26.9%,17,-1.1%,17,-1.1%,23,-3.1%,23,-3.1%
LAR,4-1,5,22.0%,5,22.0%,3,26.4%,3,26.4%,14,-2.3%,14,-2.3%,30,-6.7%,30,-6.7%
CLE,3-2,6,21.0%,6,21.0%,6,14.8%,6,14.8%,13,-3.7%,13,-3.7%,4,2.5%,4,2.5%
NO,3-2,7,16.4%,7,16.4%,14,0.8%,14,0.8%,3,-15.8%,3,-15.8%,12,-0.1%,12,-0.1%
SEA,2-3,8,11.4%,8,11.4%,5,19.7%,5,19.7%,25,8.6%,25,8.6%,10,0.2%,10,0.2%
BAL,4-1,9,10.5%,9,10.5%,9,11.5%,9,11.5%,22,6.0%,22,6.0%,2,5.0%,2,5.0%
SF,2-3,10,6.4%,10,6.4%,11,7.2%,11,7.2%,16,-1.7%,16,-1.7%,21,-2.5%,21,-2.5%
LAC,4-1,11,6.4%,11,6.4%,7,13.4%,7,13.4%,18,1.4%,18,1.4%,27,-5.7%,27,-5.7%
CIN,3-2,12,4.9%,12,4.9%,16,-3.3%,16,-3.3%,7,-8.2%,7,-8.2%,11,0.1%,11,0.1%
MIN,2-3,13,2.6%,13,2.6%,17,-3.6%,17,-3.6%,8,-7.1%,8,-7.1%,15,-1.0%,15,-1.0%
GB,4-1,14,1.6%,14,1.6%,10,10.3%,10,10.3%,20,2.8%,20,2.8%,29,-5.9%,29,-5.9%
KC,2-3,15,1.5%,15,1.5%,1,29.0%,1,29.0%,32,29.3%,32,29.3%,6,1.8%,6,1.8%
PHI,2-3,16,0.3%,16,0.3%,19,-3.8%,19,-3.8%,11,-3.8%,11,-3.8%,9,0.2%,9,0.2%
CAR,3-2,17,-1.4%,17,-1.4%,26,-12.2%,26,-12.2%,2,-16.7%,2,-16.7%,28,-5.9%,28,-5.9%
DEN,3-2,18,-2.1%,18,-2.1%,18,-3.6%,18,-3.6%,10,-5.1%,10,-5.1%,24,-3.6%,24,-3.6%
WAS,2-3,19,-3.8%,19,-3.8%,13,1.8%,13,1.8%,28,11.7%,28,11.7%,1,6.0%,1,6.0%
PIT,2-3,20,-7.6%,20,-7.6%,22,-4.7%,22,-4.7%,19,1.5%,19,1.5%,17,-1.4%,17,-1.4%
NE,2-3,21,-7.8%,21,-7.8%,24,-11.7%,24,-11.7%,9,-5.4%,9,-5.4%,18,-1.5%,18,-1.5%
CHI,3-2,22,-10.7%,22,-10.7%,31,-24.2%,31,-24.2%,5,-12.3%,5,-12.3%,8,1.3%,8,1.3%
NYG,1-4,23,-12.5%,23,-12.5%,15,-3.1%,15,-3.1%,26,8.6%,26,8.6%,14,-0.8%,14,-0.8%
IND,1-4,24,-13.8%,24,-13.8%,20,-4.0%,20,-4.0%,23,7.1%,23,7.1%,22,-2.7%,22,-2.7%
LV,3-2,25,-14.6%,25,-14.6%,27,-16.1%,27,-16.1%,12,-3.7%,12,-3.7%,19,-2.3%,19,-2.3%
TEN,3-2,26,-19.7%,26,-19.7%,21,-4.5%,21,-4.5%,27,11.3%,27,11.3%,26,-3.9%,26,-3.9%
DET,0-5,27,-21.8%,27,-21.8%,25,-11.8%,25,-11.8%,29,11.9%,29,11.9%,5,1.9%,5,1.9%
HOU,1-4,28,-29.0%,28,-29.0%,30,-23.8%,30,-23.8%,15,-2.3%,15,-2.3%,31,-7.4%,31,-7.4%
NYJ,1-4,29,-30.3%,29,-30.3%,32,-27.5%,32,-27.5%,21,4.3%,21,4.3%,7,1.6%,7,1.6%
MIA,1-4,30,-31.4%,30,-31.4%,29,-21.2%,29,-21.2%,24,7.9%,24,7.9%,20,-2.3%,20,-2.3%
JAX,0-5,31,-36.9%,31,-36.9%,23,-10.3%,23,-10.3%,31,23.0%,31,23.0%,25,-3.7%,25,-3.7%
ATL,2-3,32,-41.9%,32,-41.9%,28,-19.4%,28,-19.4%,30,13.3%,30,13.3%,32,-9.2%,32,-9.2%

