Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,3-1,1,48.1%,1,48.1%,17,-0.5%,17,-0.5%,1,-49.4%,1,-49.4%,12,-0.8%,12,-0.8%
DAL,3-1,2,32.2%,2,32.2%,3,27.8%,3,27.8%,10,-6.1%,10,-6.1%,19,-1.7%,19,-1.7%
ARI,4-0,3,31.6%,3,31.6%,6,17.2%,6,17.2%,6,-11.1%,6,-11.1%,3,3.3%,3,3.3%
CLE,3-1,4,28.0%,4,28.0%,9,8.8%,9,8.8%,3,-16.4%,3,-16.4%,5,2.7%,5,2.7%
LAR,3-1,5,24.0%,5,24.0%,2,29.4%,2,29.4%,20,0.2%,20,0.2%,28,-5.2%,28,-5.2%
BAL,3-1,6,18.7%,6,18.7%,10,7.0%,10,7.0%,12,-5.0%,12,-5.0%,2,6.8%,2,6.8%
NO,2-2,7,16.5%,7,16.5%,19,-0.7%,19,-0.7%,2,-18.3%,2,-18.3%,13,-1.2%,13,-1.2%
KC,2-2,8,16.3%,8,16.3%,1,41.2%,1,41.2%,32,25.9%,32,25.9%,6,1.0%,6,1.0%
TB,3-1,9,15.0%,9,15.0%,5,18.7%,5,18.7%,19,-0.1%,19,-0.1%,27,-3.9%,27,-3.9%
CIN,3-1,10,13.1%,10,13.1%,20,-1.6%,20,-1.6%,5,-11.5%,5,-11.5%,4,3.2%,4,3.2%
SEA,2-2,11,12.3%,11,12.3%,4,24.0%,4,24.0%,25,10.4%,25,10.4%,14,-1.3%,14,-1.3%
CAR,3-1,12,9.1%,12,9.1%,18,-0.7%,18,-0.7%,4,-15.4%,4,-15.4%,30,-5.7%,30,-5.7%
SF,2-2,13,7.5%,13,7.5%,7,10.3%,7,10.3%,16,-0.7%,16,-0.7%,25,-3.5%,25,-3.5%
DEN,3-1,14,6.8%,14,6.8%,16,1.5%,16,1.5%,7,-11.0%,7,-11.0%,29,-5.6%,29,-5.6%
LAC,3-1,15,6.1%,15,6.1%,11,5.3%,11,5.3%,9,-6.5%,9,-6.5%,31,-5.8%,31,-5.8%
MIN,1-3,16,2.7%,16,2.7%,14,2.2%,14,2.2%,14,-0.8%,14,-0.8%,10,-0.3%,10,-0.3%
GB,3-1,17,0.7%,17,0.7%,8,9.1%,8,9.1%,23,6.8%,23,6.8%,18,-1.7%,18,-1.7%
WAS,2-2,18,-3.8%,18,-3.8%,13,3.9%,13,3.9%,28,14.8%,28,14.8%,1,7.1%,1,7.1%
PHI,1-3,19,-6.6%,19,-6.6%,15,1.5%,15,1.5%,24,8.1%,24,8.1%,8,0.0%,8,0.0%
NE,1-3,20,-7.1%,20,-7.1%,23,-10.1%,23,-10.1%,11,-5.5%,11,-5.5%,22,-2.5%,22,-2.5%
NYG,1-3,21,-7.3%,21,-7.3%,12,4.0%,12,4.0%,27,12.0%,27,12.0%,7,0.7%,7,0.7%
LV,3-1,22,-10.3%,22,-10.3%,22,-9.4%,22,-9.4%,17,-0.7%,17,-0.7%,16,-1.6%,16,-1.6%
IND,1-3,23,-14.8%,23,-14.8%,26,-12.7%,26,-12.7%,21,1.8%,21,1.8%,11,-0.4%,11,-0.4%
PIT,1-3,24,-15.5%,24,-15.5%,25,-11.1%,25,-11.1%,22,2.2%,22,2.2%,21,-2.3%,21,-2.3%
CHI,2-2,25,-17.9%,25,-17.9%,29,-25.3%,29,-25.3%,8,-8.8%,8,-8.8%,15,-1.4%,15,-1.4%
MIA,1-3,26,-23.0%,26,-23.0%,28,-24.5%,28,-24.5%,13,-4.1%,13,-4.1%,23,-2.6%,23,-2.6%
TEN,2-2,27,-25.3%,27,-25.3%,24,-10.2%,24,-10.2%,26,11.5%,26,11.5%,26,-3.6%,26,-3.6%
HOU,1-3,28,-28.7%,28,-28.7%,30,-26.1%,30,-26.1%,15,-0.8%,15,-0.8%,24,-3.4%,24,-3.4%
DET,0-4,29,-29.3%,29,-29.3%,21,-8.4%,21,-8.4%,31,20.9%,31,20.9%,9,0.0%,9,0.0%
NYJ,1-3,30,-31.5%,30,-31.5%,32,-29.8%,32,-29.8%,18,-0.2%,18,-0.2%,20,-1.8%,20,-1.8%
JAX,0-4,31,-37.2%,31,-37.2%,27,-15.3%,27,-15.3%,30,20.3%,30,20.3%,17,-1.6%,17,-1.6%
ATL,1-3,32,-53.4%,32,-53.4%,31,-28.5%,31,-28.5%,29,15.5%,29,15.5%,32,-9.4%,32,-9.4%

