Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,5-2,1,35.9%,1,38.0%,11,7.3%,9,8.7%,1,-27.8%,1,-28.1%,8,0.8%,7,1.2%
ARI,7-1,2,31.6%,2,30.8%,10,8.2%,12,7.8%,2,-21.2%,2,-20.7%,3,2.2%,3,2.3%
TB,6-2,3,31.0%,3,30.7%,2,25.8%,2,25.7%,8,-7.3%,7,-7.5%,22,-2.1%,24,-2.6%
LAR,7-1,4,30.1%,4,29.2%,1,27.5%,1,26.4%,9,-7.0%,8,-7.3%,29,-4.4%,28,-4.5%
DAL,6-1,5,25.5%,5,25.6%,3,19.2%,3,18.5%,6,-8.9%,6,-9.2%,24,-2.6%,22,-2.1%
CLE,4-4,6,14.4%,6,14.2%,4,13.5%,5,12.4%,19,1.1%,17,0.5%,4,2.0%,4,2.3%
NO,5-2,7,14.4%,7,12.4%,20,-0.9%,20,-1.4%,3,-15.0%,3,-13.6%,9,0.3%,10,0.2%
SF,3-4,8,10.3%,9,10.6%,7,10.6%,7,10.3%,16,-0.2%,14,-0.8%,15,-0.5%,15,-0.5%
BAL,5-2,9,10.2%,8,11.1%,9,8.9%,8,9.8%,24,5.2%,24,5.2%,1,6.5%,1,6.4%
IND,3-5,10,8.1%,10,9.7%,19,0.0%,18,0.5%,5,-9.1%,5,-10.3%,16,-1.0%,18,-1.0%
MIN,3-4,11,7.3%,13,7.3%,14,2.0%,17,1.2%,4,-10.0%,4,-11.5%,30,-4.8%,30,-5.4%
SEA,3-5,12,6.6%,14,4.9%,8,10.0%,10,8.0%,21,3.5%,22,3.4%,11,0.1%,9,0.3%
NE,4-4,13,6.2%,12,7.8%,17,0.5%,16,1.5%,11,-4.3%,10,-4.6%,6,1.4%,6,1.7%
GB,7-1,14,5.5%,11,8.2%,5,13.5%,4,15.0%,22,4.0%,21,2.7%,27,-4.0%,27,-4.1%
PIT,4-3,15,1.8%,16,1.4%,21,-2.2%,21,-2.4%,10,-5.2%,11,-4.4%,17,-1.1%,16,-0.7%
LAC,4-3,16,0.8%,15,2.0%,12,6.7%,11,7.9%,12,-1.4%,13,-1.6%,32,-7.4%,32,-7.4%
KC,4-4,17,0.4%,17,0.3%,6,13.0%,6,12.0%,31,15.7%,31,14.9%,2,3.1%,2,3.2%
PHI,3-5,18,-0.1%,19,-1.0%,16,1.6%,15,1.5%,17,0.0%,19,0.8%,19,-1.7%,19,-1.8%
LV,5-2,19,-1.6%,20,-2.0%,18,0.0%,19,0.5%,15,-0.3%,16,0.5%,20,-1.9%,21,-2.0%
TEN,6-2,20,-2.0%,18,0.1%,15,1.6%,13,2.5%,20,2.4%,20,1.7%,18,-1.2%,17,-0.7%
CIN,5-3,21,-2.3%,21,-3.7%,22,-3.9%,22,-4.3%,13,-1.3%,15,-0.7%,10,0.3%,11,0.0%
DEN,4-4,22,-7.4%,22,-9.0%,13,3.3%,14,2.4%,25,7.5%,25,8.1%,26,-3.2%,26,-3.3%
NYG,2-6,23,-15.4%,23,-15.4%,27,-15.9%,28,-16.7%,14,-0.7%,12,-1.7%,13,-0.3%,14,-0.3%
CAR,4-4,24,-15.7%,24,-18.0%,29,-20.1%,30,-21.5%,7,-7.3%,9,-6.3%,25,-2.9%,25,-2.8%
WAS,2-6,25,-17.2%,25,-18.1%,23,-6.5%,23,-6.6%,29,12.0%,29,12.5%,7,1.2%,8,1.0%
CHI,3-5,26,-22.2%,26,-22.3%,30,-21.2%,29,-21.4%,18,0.9%,18,0.8%,12,-0.2%,12,-0.1%
MIA,1-7,27,-26.9%,28,-28.5%,25,-14.1%,26,-14.1%,26,8.6%,26,9.9%,28,-4.3%,29,-4.6%
NYJ,2-5,28,-29.4%,27,-28.0%,28,-17.5%,27,-16.3%,28,11.6%,28,11.5%,14,-0.3%,13,-0.2%
JAX,1-6,29,-31.9%,29,-30.2%,24,-10.9%,24,-9.1%,32,19.0%,32,19.2%,21,-2.0%,20,-2.0%
DET,0-8,30,-32.1%,30,-32.0%,31,-22.4%,31,-23.4%,27,11.6%,27,10.9%,5,1.9%,4,2.3%
HOU,1-7,31,-33.2%,32,-35.2%,32,-26.6%,32,-27.6%,23,4.2%,23,5.1%,23,-2.4%,23,-2.5%
ATL,3-4,32,-35.6%,31,-33.4%,26,-15.7%,25,-13.7%,30,14.3%,30,14.0%,31,-5.6%,31,-5.7%

