Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,13-3,1,35.1%,2,34.9%,2,19.1%,3,21.2%,4,-11.0%,8,-7.2%,1,5.0%,1,6.5%
SF,13-4,2,27.6%,1,38.6%,6,13.2%,2,23.2%,1,-14.1%,2,-13.3%,15,0.2%,13,2.1%
PHI,14-3,3,25.2%,5,21.7%,3,15.1%,6,12.5%,6,-9.7%,9,-6.2%,13,0.5%,7,3.0%
KC,14-3,4,23.0%,3,29.7%,1,25.2%,1,27.5%,17,1.4%,14,-2.4%,19,-0.9%,22,-0.1%
CIN,12-4,5,18.1%,4,25.0%,4,14.2%,4,21.1%,11,-4.4%,11,-3.4%,18,-0.5%,19,0.5%
DAL,12-5,6,18.0%,7,13.7%,15,2.9%,13,3.3%,2,-13.3%,6,-9.4%,10,1.8%,17,1.0%
BAL,10-7,7,17.9%,8,10.6%,12,6.6%,19,-2.2%,7,-7.3%,5,-10.4%,3,4.0%,10,2.4%
MIA,9-8,8,8.1%,12,5.9%,7,12.0%,10,3.9%,15,0.8%,13,-2.8%,28,-3.1%,23,-0.8%
DET,9-8,9,7.7%,6,15.2%,5,13.3%,5,15.9%,28,7.3%,23,3.8%,9,1.8%,6,3.1%
SEA,9-8,10,5.8%,15,4.1%,14,4.8%,16,0.1%,21,2.9%,20,1.3%,4,3.9%,2,5.3%
CLE,7-10,11,5.2%,10,7.9%,8,8.6%,11,3.9%,23,3.9%,15,-1.9%,14,0.5%,11,2.2%
GB,8-9,12,3.6%,9,8.5%,11,6.7%,9,6.9%,20,2.7%,18,0.5%,17,-0.5%,12,2.1%
JAX,9-8,13,3.3%,13,5.2%,9,7.7%,8,8.2%,26,6.1%,26,6.1%,11,1.7%,5,3.1%
PIT,9-8,14,0.9%,14,4.7%,18,-0.2%,14,2.2%,12,-3.5%,10,-5.3%,27,-2.4%,29,-2.8%
NE,8-9,15,-0.3%,20,-3.8%,24,-8.5%,27,-10.1%,3,-12.4%,1,-13.9%,32,-4.3%,32,-7.6%
NYJ,7-10,16,-0.5%,19,-2.8%,26,-9.6%,29,-13.8%,5,-10.1%,3,-13.2%,21,-1.0%,28,-2.1%
TB,8-9,17,-0.7%,25,-11.6%,16,0.4%,17,-0.8%,13,-2.9%,25,5.5%,31,-4.0%,31,-5.3%
LAC,10-7,18,-0.8%,16,2.2%,19,-1.9%,18,-0.9%,16,1.1%,19,0.8%,6,2.2%,4,3.9%
NO,7-10,19,-1.7%,11,7.2%,22,-7.0%,22,-5.9%,8,-6.9%,4,-12.2%,25,-1.6%,18,0.9%
ATL,7-10,20,-2.8%,21,-4.8%,13,5.9%,12,3.3%,30,11.1%,30,10.8%,5,2.5%,8,2.6%
NYG,9-7-1,21,-4.3%,18,0.5%,10,7.1%,7,10.4%,29,10.2%,29,9.1%,22,-1.2%,24,-0.8%
WAS,8-8-1,22,-4.9%,17,0.6%,28,-12.4%,26,-9.7%,9,-5.5%,7,-8.3%,7,2.1%,14,2.1%
TEN,7-10,23,-9.4%,27,-14.0%,21,-6.1%,24,-8.2%,19,1.8%,22,3.6%,24,-1.5%,27,-2.1%
LAR,5-12,24,-11.0%,22,-7.8%,23,-8.1%,21,-5.7%,18,1.6%,21,3.2%,23,-1.3%,16,1.1%
DEN,5-12,25,-11.3%,26,-13.8%,29,-13.1%,28,-12.7%,10,-5.2%,16,-0.8%,29,-3.4%,26,-2.0%
LV,6-11,26,-11.5%,24,-9.6%,17,0.3%,15,0.3%,31,13.0%,31,11.5%,12,1.1%,15,1.7%
MIN,13-4,27,-13.8%,28,-18.6%,20,-3.3%,23,-6.1%,27,6.7%,28,7.9%,30,-3.8%,30,-4.6%
CAR,7-10,28,-13.9%,23,-8.8%,27,-10.0%,20,-4.7%,25,5.8%,27,6.7%,8,1.9%,9,2.6%
ARI,4-13,29,-22.4%,29,-20.5%,30,-15.9%,30,-16.2%,24,5.5%,24,4.6%,20,-1.0%,21,0.3%
CHI,3-14,30,-26.6%,31,-32.4%,25,-8.7%,25,-8.4%,32,17.9%,32,24.3%,16,0.0%,20,0.4%
HOU,3-13-1,31,-26.7%,30,-22.5%,31,-27.6%,31,-30.2%,22,3.2%,12,-2.9%,2,4.0%,3,4.8%
IND,4-12-1,32,-32.8%,32,-36.1%,32,-31.7%,32,-34.2%,14,-0.9%,17,0.3%,26,-1.9%,25,-1.6%

