Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,12-1,1,32.1%,2,32.8%,2,21.5%,2,23.2%,7,-10.9%,7,-8.8%,17,-0.3%,15,0.8%
BUF,10-3,2,32.0%,3,28.9%,4,15.3%,5,14.7%,4,-12.8%,6,-9.8%,3,3.9%,3,4.4%
SF,9-4,3,25.3%,1,33.4%,10,8.1%,6,13.6%,2,-17.0%,1,-18.5%,14,0.2%,12,1.3%
DAL,10-3,4,24.3%,4,24.1%,15,4.2%,13,6.1%,1,-17.5%,2,-15.7%,7,2.5%,7,2.3%
BAL,9-4,5,22.9%,5,21.4%,6,11.3%,8,9.0%,8,-6.4%,8,-8.0%,1,5.2%,2,4.5%
CIN,9-4,6,17.9%,6,21.3%,5,15.0%,3,20.2%,10,-4.8%,10,-3.1%,26,-1.9%,25,-2.0%
KC,10-3,7,17.8%,7,20.1%,1,23.6%,1,24.9%,25,5.9%,24,5.3%,15,0.1%,16,0.6%
MIA,8-5,8,11.4%,8,12.9%,3,17.0%,4,16.3%,17,1.6%,14,0.3%,31,-4.0%,29,-3.0%
NYJ,7-6,9,8.2%,9,9.9%,19,-3.4%,21,-3.2%,6,-12.0%,3,-14.5%,18,-0.4%,22,-1.4%
SEA,7-6,10,7.8%,11,7.8%,9,8.2%,11,7.0%,21,4.7%,23,4.9%,2,4.3%,1,5.7%
DET,6-7,11,6.2%,10,9.5%,7,10.2%,7,10.8%,24,5.1%,20,2.8%,9,1.1%,10,1.4%
NE,7-6,12,5.3%,12,5.2%,25,-9.3%,24,-10.2%,3,-13.9%,4,-14.5%,12,0.7%,14,0.9%
TB,6-7,13,0.7%,17,-4.0%,17,-0.7%,17,0.2%,11,-4.6%,16,0.6%,29,-3.2%,31,-3.6%
CLE,5-8,14,0.2%,15,0.4%,8,9.3%,10,7.5%,27,9.0%,26,7.6%,16,-0.1%,17,0.5%
GB,5-8,15,-0.8%,14,0.8%,11,7.5%,9,8.5%,23,5.0%,22,4.9%,30,-3.2%,28,-2.9%
ATL,5-8,16,-2.8%,16,-3.0%,12,6.0%,14,5.2%,30,11.9%,28,11.5%,6,3.1%,6,3.3%
WAS,7-5-1,17,-3.2%,13,1.0%,27,-12.8%,26,-10.5%,9,-6.3%,9,-7.4%,4,3.4%,4,4.2%
JAX,5-8,18,-4.5%,21,-7.2%,13,5.5%,16,4.8%,28,10.6%,30,13.1%,13,0.7%,13,1.0%
PIT,5-8,19,-4.8%,18,-4.8%,20,-3.8%,20,-2.4%,13,-1.8%,12,-1.1%,28,-2.8%,30,-3.5%
TEN,7-6,20,-6.6%,20,-5.8%,22,-4.7%,22,-4.1%,16,1.0%,17,0.8%,19,-0.9%,20,-0.9%
MIN,10-3,21,-7.2%,23,-9.0%,18,-1.0%,19,-1.8%,22,4.8%,25,6.0%,21,-1.3%,21,-1.1%
NO,4-9,22,-7.9%,19,-5.7%,23,-6.5%,23,-5.9%,15,-0.1%,13,-0.2%,23,-1.6%,19,-0.1%
DEN,3-10,23,-8.5%,25,-9.9%,30,-16.6%,30,-17.5%,5,-12.4%,5,-11.6%,32,-4.3%,32,-3.9%
NYG,7-5-1,24,-8.9%,24,-9.7%,14,4.6%,15,5.1%,29,11.7%,29,12.3%,24,-1.9%,27,-2.5%
LV,5-8,25,-9.6%,22,-7.7%,16,4.1%,12,6.4%,31,14.8%,31,15.4%,11,1.1%,11,1.3%
LAC,7-6,26,-9.9%,26,-11.9%,24,-8.7%,25,-10.3%,18,2.3%,21,3.1%,10,1.1%,9,1.4%
LAR,4-9,27,-12.7%,27,-13.2%,26,-12.2%,27,-12.6%,14,-0.9%,15,0.6%,22,-1.5%,18,0.0%
CAR,5-8,28,-17.1%,28,-14.8%,29,-16.1%,28,-14.7%,19,2.5%,19,2.0%,8,1.6%,8,1.9%
CHI,3-10,29,-22.4%,29,-24.4%,21,-4.3%,18,-1.2%,32,16.7%,32,21.1%,20,-1.3%,26,-2.2%
ARI,4-9,30,-25.3%,30,-25.2%,28,-16.1%,29,-15.3%,26,7.0%,27,8.0%,27,-2.3%,23,-1.8%
IND,4-8-1,31,-29.1%,31,-27.6%,32,-29.3%,31,-28.2%,12,-2.1%,11,-2.7%,25,-1.9%,24,-2.0%
HOU,1-11-1,32,-29.9%,32,-29.3%,31,-28.7%,32,-31.3%,20,4.5%,18,1.5%,5,3.3%,5,3.5%

