Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,11-3,1,32.6%,2,30.9%,4,16.4%,4,17.1%,5,-12.2%,6,-9.2%,2,4.0%,2,4.5%
PHI,13-1,2,29.0%,3,28.1%,2,18.4%,3,18.7%,7,-11.1%,8,-8.7%,16,-0.5%,14,0.7%
SF,10-4,3,26.6%,1,36.7%,9,9.2%,5,16.0%,1,-17.6%,1,-20.0%,13,-0.2%,13,0.8%
DAL,10-4,4,21.5%,4,21.2%,15,4.7%,11,6.7%,3,-13.9%,5,-11.6%,6,3.0%,8,3.0%
BAL,9-5,5,18.9%,7,15.1%,11,8.2%,16,3.5%,8,-6.9%,7,-8.9%,3,3.8%,9,2.7%
KC,11-3,6,16.7%,6,17.7%,1,24.0%,1,24.3%,24,6.3%,25,5.9%,18,-1.0%,19,-0.6%
CIN,10-4,7,16.0%,5,21.1%,5,13.5%,2,20.3%,12,-3.7%,12,-1.4%,22,-1.2%,18,-0.6%
MIA,8-6,8,11.6%,9,12.0%,3,17.2%,6,15.8%,18,2.8%,19,2.2%,29,-2.8%,24,-1.6%
DET,7-7,9,8.0%,8,13.6%,6,10.7%,7,11.5%,23,5.2%,17,1.5%,8,2.5%,4,3.6%
NYJ,7-7,10,6.5%,10,8.2%,19,-2.8%,19,-2.0%,6,-11.3%,3,-13.7%,26,-2.1%,30,-3.5%
SEA,7-7,11,6.2%,11,4.9%,12,7.9%,13,6.1%,25,6.4%,26,7.3%,1,4.7%,1,6.0%
NE,7-7,12,3.5%,13,3.3%,25,-10.8%,26,-11.9%,2,-14.5%,2,-16.0%,14,-0.2%,20,-0.7%
GB,6-8,13,2.5%,12,4.1%,7,9.7%,9,10.2%,22,4.6%,21,4.3%,27,-2.5%,25,-1.7%
CLE,6-8,14,2.4%,14,2.5%,10,9.2%,10,7.1%,26,6.5%,23,4.9%,15,-0.3%,16,0.3%
TB,6-8,15,1.3%,18,-3.5%,17,-0.8%,18,-0.5%,9,-5.9%,11,-1.5%,31,-3.8%,31,-4.4%
JAX,6-8,16,0.5%,15,0.6%,8,9.4%,8,10.7%,28,9.9%,28,11.7%,12,1.0%,11,1.6%
PIT,6-8,17,-3.1%,17,-3.3%,18,-1.7%,17,0.9%,13,-1.1%,15,0.9%,28,-2.6%,28,-3.2%
ATL,5-9,18,-3.9%,19,-4.2%,13,5.7%,14,4.8%,30,12.5%,30,12.1%,7,3.0%,7,3.1%
WAS,7-6-1,19,-4.4%,16,-0.4%,26,-13.0%,25,-11.1%,10,-5.0%,9,-6.4%,4,3.6%,3,4.4%
DEN,4-10,20,-6.0%,23,-7.3%,28,-14.9%,29,-15.5%,4,-13.8%,4,-13.0%,32,-4.8%,32,-4.8%
TEN,7-7,21,-6.8%,24,-7.3%,21,-4.2%,21,-3.9%,16,1.0%,18,1.6%,24,-1.6%,26,-1.8%
NYG,8-5-1,22,-7.4%,21,-6.6%,14,5.0%,12,6.4%,29,11.4%,29,12.1%,17,-1.0%,23,-0.9%
LAC,8-6,23,-7.6%,25,-9.1%,24,-7.8%,24,-9.0%,17,1.3%,20,2.4%,10,1.5%,10,2.3%
NO,5-9,24,-8.2%,20,-5.8%,23,-6.8%,23,-6.2%,14,-0.2%,13,-0.1%,23,-1.5%,15,0.3%
MIN,11-3,25,-10.1%,26,-13.4%,20,-2.9%,22,-5.1%,19,4.3%,24,5.1%,30,-2.9%,29,-3.3%
LV,6-8,26,-10.3%,22,-6.8%,16,2.0%,15,4.7%,32,13.5%,31,13.0%,11,1.2%,12,1.6%
LAR,4-10,27,-16.4%,28,-16.9%,27,-14.0%,27,-14.7%,15,0.4%,16,1.3%,25,-2.0%,22,-0.8%
CAR,5-9,28,-18.0%,27,-16.4%,29,-16.1%,28,-15.2%,20,4.4%,22,4.6%,9,2.4%,6,3.5%
CHI,3-11,29,-20.0%,29,-22.6%,22,-5.7%,20,-3.6%,31,13.1%,32,16.8%,21,-1.2%,27,-2.1%
ARI,4-10,30,-26.2%,31,-25.9%,30,-17.3%,30,-17.2%,27,7.8%,27,8.5%,20,-1.1%,17,-0.2%
IND,4-9-1,31,-26.6%,30,-25.6%,32,-29.3%,31,-29.6%,11,-3.7%,10,-4.7%,19,-1.0%,21,-0.7%
HOU,1-12-1,32,-27.7%,32,-26.7%,31,-26.8%,32,-29.7%,21,4.4%,14,0.6%,5,3.5%,5,3.6%

