Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
CAR,2-0,1,46.4%,1,46.4%,15,4.1%,15,4.1%,1,-52.1%,1,-52.1%,32,-9.8%,32,-9.8%
LAR,2-0,2,42.3%,2,42.3%,5,32.0%,5,32.0%,4,-19.9%,4,-19.9%,31,-9.6%,31,-9.6%
TB,2-0,3,39.5%,3,39.5%,6,25.9%,6,25.9%,12,-8.9%,12,-8.9%,4,4.8%,4,4.8%
DEN,2-0,4,38.0%,4,38.0%,4,32.8%,4,32.8%,10,-13.0%,10,-13.0%,30,-7.8%,30,-7.8%
ARI,2-0,5,30.3%,5,30.3%,10,11.4%,10,11.4%,6,-15.7%,6,-15.7%,8,3.3%,8,3.3%
SF,2-0,6,27.7%,6,27.7%,8,18.6%,8,18.6%,13,-8.6%,13,-8.6%,10,0.6%,10,0.6%
SEA,1-1,7,24.3%,7,24.3%,3,32.9%,3,32.9%,19,5.1%,19,5.1%,22,-3.5%,22,-3.5%
PHI,1-1,8,21.1%,8,21.1%,13,8.5%,13,8.5%,9,-14.0%,9,-14.0%,17,-1.5%,17,-1.5%
CLE,1-1,9,20.5%,9,20.5%,1,40.1%,1,40.1%,25,15.9%,25,15.9%,23,-3.7%,23,-3.7%
WAS,1-1,10,18.3%,10,18.3%,9,13.2%,9,13.2%,18,1.5%,18,1.5%,2,6.7%,2,6.7%
NE,1-1,11,16.6%,11,16.6%,21,-4.9%,21,-4.9%,3,-23.5%,3,-23.5%,18,-2.0%,18,-2.0%
BUF,1-1,12,13.3%,12,13.3%,26,-19.6%,26,-19.6%,2,-37.2%,2,-37.2%,24,-4.3%,24,-4.3%
NO,1-1,13,12.9%,13,12.9%,24,-14.1%,24,-14.1%,5,-19.8%,5,-19.8%,1,7.2%,1,7.2%
DAL,1-1,14,7.6%,14,7.6%,7,24.4%,7,24.4%,22,10.5%,22,10.5%,28,-6.3%,28,-6.3%
PIT,1-1,15,5.2%,15,5.2%,17,1.0%,17,1.0%,14,-7.6%,14,-7.6%,21,-3.4%,21,-3.4%
HOU,1-1,16,4.1%,16,4.1%,16,2.4%,16,2.4%,15,-6.8%,15,-6.8%,25,-5.1%,25,-5.1%
BAL,1-1,17,2.7%,17,2.7%,11,10.3%,11,10.3%,23,13.0%,23,13.0%,3,5.4%,3,5.4%
KC,1-1,18,2.6%,18,2.6%,2,36.1%,2,36.1%,31,33.7%,31,33.7%,12,0.2%,12,0.2%
LV,2-0,19,0.9%,19,0.9%,18,-0.5%,18,-0.5%,16,-1.8%,16,-1.8%,14,-0.4%,14,-0.4%
MIN,0-2,20,-1.2%,20,-1.2%,14,5.3%,14,5.3%,21,6.3%,21,6.3%,13,-0.2%,13,-0.2%
CIN,1-1,21,-1.3%,21,-1.3%,27,-20.7%,27,-20.7%,7,-15.1%,7,-15.1%,6,4.3%,6,4.3%
NYG,0-2,22,-3.4%,22,-3.4%,12,10.0%,12,10.0%,27,18.0%,27,18.0%,5,4.6%,5,4.6%
CHI,1-1,23,-9.6%,23,-9.6%,28,-26.4%,28,-26.4%,8,-14.2%,8,-14.2%,9,2.5%,9,2.5%
LAC,1-1,24,-13.9%,24,-13.9%,20,-2.8%,20,-2.8%,20,6.1%,20,6.1%,26,-5.1%,26,-5.1%
GB,1-1,25,-26.0%,25,-26.0%,19,-2.6%,19,-2.6%,28,22.4%,28,22.4%,15,-1.1%,15,-1.1%
IND,0-2,26,-28.7%,26,-28.7%,25,-16.5%,25,-16.5%,26,16.2%,26,16.2%,7,4.0%,7,4.0%
MIA,1-1,27,-32.1%,27,-32.1%,30,-39.1%,30,-39.1%,11,-9.2%,11,-9.2%,19,-2.2%,19,-2.2%
NYJ,0-2,28,-36.8%,28,-36.8%,29,-34.6%,29,-34.6%,17,-0.1%,17,-0.1%,20,-2.3%,20,-2.3%
DET,0-2,29,-43.5%,29,-43.5%,22,-6.0%,22,-6.0%,32,36.1%,32,36.1%,16,-1.4%,16,-1.4%
TEN,1-1,30,-49.5%,30,-49.5%,23,-12.2%,23,-12.2%,30,29.8%,30,29.8%,29,-7.5%,29,-7.5%
JAX,0-2,31,-54.2%,31,-54.2%,31,-40.7%,31,-40.7%,24,13.9%,24,13.9%,11,0.3%,11,0.3%
ATL,0-2,32,-80.5%,32,-80.5%,32,-48.6%,32,-48.6%,29,26.4%,29,26.4%,27,-5.6%,27,-5.6%

