Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,4-2,1,36.5%,1,37.5%,12,5.5%,12,6.0%,1,-31.5%,1,-31.8%,12,-0.5%,12,-0.3%
ARI,6-0,2,32.0%,2,31.7%,8,11.0%,7,11.1%,2,-18.2%,2,-17.7%,4,2.8%,4,2.9%
LAR,5-1,3,29.9%,3,29.5%,3,22.3%,3,21.9%,4,-12.7%,3,-12.9%,28,-5.1%,28,-5.2%
TB,5-1,4,27.5%,4,27.4%,1,29.2%,1,29.3%,16,-0.3%,17,-0.3%,20,-2.0%,20,-2.2%
DAL,5-1,5,22.6%,5,22.9%,4,19.0%,4,18.9%,9,-5.3%,9,-5.4%,16,-1.7%,16,-1.4%
BAL,5-1,6,18.0%,6,18.6%,9,9.9%,9,10.3%,14,-1.4%,14,-1.5%,1,6.7%,1,6.7%
CLE,3-3,7,16.3%,7,16.5%,7,11.2%,8,10.8%,12,-2.2%,12,-2.6%,3,2.9%,3,3.1%
NO,3-2,8,13.7%,8,12.5%,17,0.8%,17,0.4%,3,-13.1%,4,-12.4%,10,-0.1%,10,-0.3%
SEA,2-4,9,10.3%,9,9.9%,6,15.6%,6,15.4%,22,5.8%,23,6.0%,9,0.4%,9,0.4%
MIN,3-3,10,7.4%,11,7.3%,13,4.0%,14,4.0%,6,-9.3%,6,-9.6%,29,-5.9%,30,-6.2%
SF,2-3,11,7.2%,12,7.0%,10,7.6%,10,7.2%,13,-2.1%,13,-2.2%,21,-2.5%,21,-2.4%
GB,5-1,12,7.1%,10,8.5%,5,17.7%,5,18.7%,23,6.0%,22,5.6%,27,-4.6%,27,-4.6%
CIN,4-2,13,7.0%,13,6.8%,19,-4.9%,20,-5.2%,5,-12.1%,5,-12.3%,11,-0.2%,11,-0.3%
KC,3-3,14,5.5%,14,5.7%,2,24.4%,2,24.3%,31,21.1%,31,20.9%,5,2.2%,6,2.3%
IND,2-4,15,0.4%,15,0.9%,15,2.1%,15,2.3%,17,-0.3%,16,-0.5%,19,-1.9%,19,-2.0%
PIT,3-3,16,-0.7%,17,-1.3%,20,-4.9%,19,-5.1%,10,-5.3%,10,-4.7%,14,-1.0%,13,-0.8%
LAC,4-2,17,-0.9%,16,-0.7%,11,6.3%,11,6.7%,19,0.1%,18,0.2%,31,-7.2%,31,-7.2%
PHI,2-4,18,-2.8%,18,-3.6%,18,-1.6%,18,-1.9%,18,0.0%,19,0.4%,15,-1.3%,15,-1.3%
NE,2-4,19,-6.4%,19,-6.1%,24,-8.4%,24,-8.4%,11,-3.8%,11,-4.0%,17,-1.8%,17,-1.7%
CHI,3-3,20,-7.8%,20,-7.6%,27,-16.9%,27,-17.3%,7,-7.1%,7,-7.6%,7,2.0%,7,2.0%
DEN,3-3,21,-8.4%,22,-8.6%,16,2.0%,16,1.7%,24,6.6%,24,6.5%,25,-3.8%,25,-3.9%
LV,4-2,22,-8.5%,23,-8.7%,22,-6.8%,22,-6.9%,15,-1.2%,15,-1.0%,23,-2.9%,23,-2.9%
TEN,4-2,23,-9.3%,21,-8.3%,14,3.3%,13,4.1%,28,9.3%,28,9.2%,24,-3.3%,24,-3.2%
WAS,2-4,24,-12.2%,24,-12.4%,21,-6.1%,21,-6.0%,29,10.7%,29,11.1%,2,4.6%,2,4.6%
CAR,3-3,25,-13.8%,25,-14.2%,25,-15.7%,25,-16.0%,8,-6.5%,8,-6.4%,26,-4.6%,26,-4.6%
DET,0-6,26,-25.0%,26,-24.6%,28,-18.0%,28,-18.1%,27,9.2%,27,8.8%,6,2.2%,5,2.3%
NYG,1-5,27,-25.2%,27,-25.5%,26,-16.8%,26,-17.2%,25,7.5%,25,7.4%,13,-0.9%,14,-0.9%
MIA,1-5,28,-31.1%,30,-31.7%,30,-20.4%,30,-20.7%,26,8.1%,26,8.3%,22,-2.6%,22,-2.7%
NYJ,1-4,29,-31.9%,28,-31.6%,32,-29.4%,32,-29.4%,21,4.0%,21,3.8%,8,1.6%,8,1.6%
JAX,1-5,30,-32.0%,29,-31.6%,23,-8.3%,23,-7.7%,32,21.9%,32,22.1%,18,-1.8%,18,-1.8%
HOU,1-5,31,-35.7%,31,-36.7%,31,-27.9%,31,-28.2%,20,1.9%,20,2.3%,30,-6.0%,29,-6.1%
ATL,2-3,32,-44.2%,32,-43.4%,29,-19.6%,29,-19.0%,30,15.4%,30,15.1%,32,-9.2%,32,-9.3%

