Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,8-3,1,29.8%,2,29.6%,1,26.0%,1,24.1%,7,-5.9%,6,-7.6%,24,-2.1%,25,-2.1%
NE,8-4,2,27.3%,1,34.1%,11,7.4%,5,9.9%,2,-17.8%,1,-21.2%,3,2.2%,3,3.0%
BUF,7-4,3,25.9%,3,23.4%,16,3.3%,15,2.5%,1,-22.5%,2,-20.5%,14,0.1%,13,0.4%
ARI,9-2,4,21.0%,5,17.8%,10,8.2%,11,5.9%,3,-12.5%,3,-12.1%,13,0.3%,15,-0.2%
DAL,7-4,5,21.0%,4,18.3%,7,10.3%,12,5.8%,4,-9.7%,4,-10.9%,9,1.0%,7,1.7%
LAR,7-4,6,16.1%,8,13.1%,3,14.0%,6,9.8%,9,-4.3%,10,-4.8%,25,-2.3%,22,-1.6%
SF,6-5,7,14.3%,6,16.6%,4,14.0%,3,14.3%,10,-1.9%,11,-3.7%,21,-1.6%,21,-1.5%
IND,6-6,8,11.1%,7,15.2%,9,8.2%,8,9.3%,12,-1.0%,13,-3.1%,4,1.9%,4,2.8%
KC,7-4,9,10.6%,9,12.5%,6,12.7%,9,8.6%,26,5.7%,16,0.0%,2,3.5%,2,4.0%
MIN,5-6,10,9.7%,11,11.2%,8,8.8%,7,9.5%,17,0.9%,19,1.0%,5,1.9%,5,2.7%
GB,9-3,11,9.6%,10,12.5%,5,13.9%,4,14.2%,13,-0.6%,12,-3.3%,30,-4.9%,30,-5.0%
NO,5-6,12,8.2%,13,5.1%,20,-0.9%,20,-2.9%,5,-9.3%,5,-8.2%,16,-0.2%,16,-0.3%
CLE,6-6,13,4.7%,16,1.3%,13,5.5%,16,2.5%,14,-0.2%,15,-0.4%,18,-1.0%,24,-1.6%
PHI,5-7,14,4.6%,12,6.1%,12,6.8%,10,7.3%,21,2.7%,21,1.8%,12,0.4%,11,0.6%
BAL,8-3,15,4.2%,15,2.3%,17,1.2%,19,-1.5%,18,1.5%,17,0.3%,1,4.5%,1,4.1%
LAC,6-5,16,3.5%,14,3.1%,2,14.6%,2,14.8%,23,3.7%,26,3.9%,32,-7.5%,32,-7.8%
SEA,3-8,17,2.1%,17,-1.6%,14,4.2%,18,-0.8%,25,3.9%,23,3.3%,6,1.9%,6,2.5%
CIN,7-4,18,-3.8%,20,-5.7%,21,-4.7%,21,-5.4%,16,0.6%,20,1.8%,8,1.5%,8,1.6%
DEN,6-5,19,-4.5%,18,-3.9%,15,4.1%,13,4.3%,24,3.9%,24,3.3%,29,-4.7%,29,-5.0%
LV,6-5,20,-6.2%,19,-4.9%,18,1.0%,14,3.2%,22,3.4%,25,3.8%,28,-3.8%,28,-4.3%
WAS,5-6,21,-9.9%,22,-10.0%,19,0.8%,17,0.2%,31,11.6%,31,10.0%,10,0.9%,14,-0.2%
TEN,8-4,22,-10.2%,21,-8.7%,22,-5.9%,22,-6.7%,20,2.6%,18,0.7%,22,-1.7%,20,-1.3%
NYG,4-7,23,-11.7%,23,-10.5%,28,-13.9%,28,-16.7%,11,-1.4%,9,-5.1%,11,0.8%,10,1.1%
PIT,5-5-1,24,-13.9%,26,-16.4%,23,-6.6%,23,-7.9%,27,7.3%,29,9.1%,15,0.1%,12,0.5%
MIA,5-7,25,-15.0%,24,-14.7%,26,-11.7%,25,-11.7%,15,0.0%,14,-0.5%,26,-3.3%,26,-3.5%
CHI,4-7,26,-15.3%,25,-15.4%,27,-13.1%,26,-12.1%,19,1.5%,22,2.3%,17,-0.8%,18,-1.0%
CAR,5-7,27,-16.2%,27,-18.5%,29,-20.5%,30,-23.3%,6,-6.2%,8,-5.9%,23,-1.8%,19,-1.1%
JAX,2-9,28,-26.3%,28,-23.6%,25,-11.4%,27,-12.9%,30,11.3%,27,6.9%,27,-3.6%,27,-3.8%
HOU,2-9,29,-26.4%,29,-26.6%,32,-30.2%,32,-33.2%,8,-5.3%,7,-7.2%,20,-1.5%,17,-0.6%
NYJ,3-8,30,-27.7%,30,-27.2%,24,-10.3%,24,-8.3%,32,16.2%,32,17.3%,19,-1.2%,23,-1.6%
DET,0-10-1,31,-29.3%,31,-31.2%,30,-21.1%,31,-24.5%,28,9.7%,28,8.2%,7,1.5%,9,1.6%
ATL,5-6,32,-38.8%,32,-38.3%,31,-21.3%,29,-22.3%,29,10.6%,30,9.3%,31,-6.9%,31,-6.6%

