Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,10-3,1,30.2%,2,29.1%,1,28.4%,1,26.7%,8,-3.9%,10,-4.7%,24,-2.1%,24,-2.2%
NE,9-4,2,27.1%,1,37.1%,10,8.0%,5,11.6%,2,-17.3%,1,-22.7%,5,1.8%,7,2.7%
DAL,9-4,3,25.8%,3,24.6%,7,8.6%,13,3.4%,3,-15.7%,2,-18.4%,7,1.6%,5,2.8%
BUF,7-6,4,24.1%,5,22.5%,14,6.0%,12,6.0%,1,-17.6%,3,-15.7%,14,0.5%,14,0.8%
LAR,9-4,5,22.4%,6,20.3%,4,13.7%,8,9.4%,6,-9.3%,5,-10.0%,19,-0.6%,13,0.8%
ARI,10-3,6,19.0%,9,14.5%,16,5.1%,15,1.5%,4,-12.7%,4,-12.2%,10,1.2%,11,0.8%
KC,9-4,7,18.0%,4,23.4%,5,13.5%,6,11.0%,16,0.7%,7,-6.3%,2,5.1%,1,6.1%
SF,7-6,8,15.2%,7,17.8%,6,12.6%,4,13.5%,7,-4.0%,8,-6.2%,21,-1.5%,22,-1.9%
IND,7-6,9,13.0%,8,17.7%,8,8.4%,7,9.7%,9,-3.2%,9,-5.9%,9,1.3%,8,2.2%
GB,10-3,10,10.5%,10,14.0%,2,18.0%,2,18.8%,17,0.7%,11,-2.9%,32,-6.8%,32,-7.8%
LAC,8-5,11,9.4%,11,11.9%,3,17.0%,3,18.1%,20,2.2%,20,1.3%,31,-5.5%,31,-5.0%
MIN,6-7,12,7.9%,12,9.3%,12,7.7%,11,7.3%,19,1.6%,21,1.5%,6,1.7%,3,3.5%
NO,6-7,13,6.5%,15,2.8%,19,-3.3%,21,-5.2%,5,-9.8%,6,-8.4%,15,0.0%,19,-0.4%
CLE,7-6,14,4.4%,16,-0.5%,13,6.3%,14,1.8%,15,0.1%,17,-0.8%,23,-1.8%,26,-3.1%
PHI,6-7,15,3.9%,13,5.0%,9,8.0%,9,8.3%,22,3.7%,23,3.3%,17,-0.5%,17,-0.1%
BAL,8-5,16,2.5%,18,-1.2%,17,0.8%,18,-3.5%,23,3.7%,22,3.0%,1,5.5%,2,5.3%
SEA,5-8,17,2.0%,17,-1.0%,15,5.4%,16,0.9%,26,5.6%,25,5.1%,4,2.1%,4,3.2%
DEN,7-6,18,0.9%,14,3.7%,11,7.7%,10,8.2%,21,3.1%,19,0.8%,29,-3.8%,28,-3.7%
CIN,7-6,19,-4.8%,19,-5.7%,22,-5.1%,20,-4.9%,12,-0.4%,18,0.4%,16,0.0%,18,-0.4%
TEN,9-4,20,-8.0%,21,-8.6%,23,-5.7%,24,-8.9%,14,0.0%,13,-2.6%,25,-2.3%,23,-2.2%
WAS,6-7,21,-8.2%,20,-7.4%,20,-3.4%,19,-4.8%,28,6.2%,24,3.5%,8,1.4%,12,0.8%
LV,6-7,22,-9.9%,22,-11.3%,18,-1.6%,17,-1.8%,25,5.0%,27,5.9%,28,-3.3%,29,-3.7%
PIT,6-6-1,23,-11.7%,24,-14.9%,21,-5.0%,22,-6.4%,27,5.9%,29,7.9%,20,-0.8%,20,-0.7%
MIA,6-7,24,-13.9%,23,-11.4%,25,-11.4%,25,-11.0%,11,-0.6%,12,-2.8%,27,-3.2%,27,-3.2%
NYG,4-9,25,-15.5%,25,-15.4%,27,-14.7%,27,-17.2%,18,1.3%,16,-1.3%,13,0.6%,16,0.5%
CHI,4-9,26,-16.2%,26,-16.5%,26,-13.6%,26,-12.6%,24,4.8%,28,6.7%,3,2.2%,6,2.8%
CAR,5-8,27,-19.5%,28,-22.1%,30,-20.9%,30,-23.2%,10,-3.1%,14,-1.9%,22,-1.7%,21,-0.8%
NYJ,3-10,28,-23.3%,27,-21.4%,24,-8.7%,23,-6.5%,32,15.6%,32,16.3%,12,1.0%,9,1.3%
JAX,2-11,29,-30.4%,29,-29.0%,28,-17.6%,29,-20.9%,29,10.3%,26,5.5%,26,-2.4%,25,-2.6%
HOU,2-11,30,-30.6%,30,-31.9%,32,-30.2%,32,-33.9%,13,-0.1%,15,-1.4%,18,-0.5%,15,0.6%
DET,1-11-1,31,-32.2%,32,-34.2%,31,-21.0%,31,-23.7%,31,12.4%,31,11.4%,11,1.1%,10,1.0%
ATL,6-7,32,-34.5%,31,-33.1%,29,-18.5%,28,-18.9%,30,10.9%,30,9.6%,30,-5.1%,30,-4.6%

