Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,7-3,1,32.2%,2,29.7%,6,14.2%,5,14.5%,3,-13.3%,7,-10.2%,3,4.7%,3,5.0%
DAL,7-3,2,29.1%,1,30.5%,14,5.5%,11,6.8%,2,-18.4%,2,-18.1%,2,5.2%,2,5.6%
BAL,7-3,3,28.1%,3,26.0%,5,15.3%,6,13.0%,11,-6.4%,10,-7.1%,1,6.4%,1,5.9%
PHI,9-1,4,26.9%,4,25.9%,3,16.6%,3,16.9%,4,-12.1%,6,-10.3%,24,-1.8%,22,-1.3%
KC,8-2,5,20.6%,5,23.7%,1,27.3%,1,30.0%,22,6.5%,22,6.5%,15,-0.2%,15,0.2%
SF,6-4,6,16.4%,6,17.4%,11,7.1%,8,10.5%,7,-10.8%,8,-8.0%,22,-1.5%,19,-1.2%
MIA,7-3,7,12.6%,9,12.3%,2,25.2%,2,25.1%,23,7.2%,24,7.7%,31,-5.3%,31,-5.1%
SEA,6-4,8,12.4%,7,14.6%,7,10.5%,9,9.8%,17,1.4%,14,-1.0%,6,3.3%,6,3.9%
TB,5-5,9,12.1%,12,9.7%,17,2.3%,16,3.2%,8,-10.0%,12,-6.3%,16,-0.2%,16,0.2%
CIN,6-4,10,11.8%,8,12.9%,8,9.0%,7,12.9%,13,-4.3%,13,-2.1%,23,-1.6%,25,-2.0%
NE,6-4,11,10.8%,10,12.1%,26,-12.8%,27,-14.8%,1,-19.8%,1,-22.2%,5,3.9%,5,4.7%
TEN,7-3,12,8.9%,11,12.0%,18,0.0%,18,0.9%,9,-8.6%,5,-10.7%,14,0.3%,14,0.4%
NYJ,6-4,13,5.7%,13,7.7%,20,-5.6%,20,-4.8%,6,-12.0%,3,-14.2%,18,-0.7%,24,-1.8%
GB,4-7,14,1.7%,14,1.4%,9,8.1%,10,7.6%,20,2.9%,18,2.5%,29,-3.5%,30,-3.8%
CLE,3-7,15,-0.7%,16,-0.6%,4,15.7%,4,15.7%,31,13.7%,29,13.0%,27,-2.7%,26,-3.3%
DET,4-6,16,-1.1%,17,-1.7%,10,7.4%,15,5.3%,25,9.2%,25,7.7%,12,0.7%,12,0.6%
ATL,5-6,17,-1.2%,18,-2.1%,12,6.3%,14,5.8%,28,10.8%,28,11.2%,8,3.3%,7,3.3%
WAS,6-5,18,-3.0%,15,0.0%,27,-13.1%,26,-11.6%,12,-5.9%,11,-6.8%,4,4.3%,4,4.8%
JAX,3-7,19,-3.0%,19,-6.8%,13,6.2%,13,5.9%,26,9.7%,30,13.3%,13,0.5%,13,0.6%
PIT,3-7,20,-6.5%,20,-8.1%,22,-6.1%,22,-6.3%,14,-0.3%,15,1.1%,17,-0.7%,17,-0.8%
NYG,7-3,21,-8.0%,21,-8.2%,16,3.0%,17,3.0%,27,10.0%,26,9.9%,20,-1.1%,21,-1.2%
LAC,5-5,22,-9.4%,24,-11.0%,24,-7.9%,24,-8.2%,19,2.9%,20,4.7%,11,1.3%,10,1.8%
NO,4-7,23,-9.7%,22,-8.8%,23,-6.9%,23,-6.5%,15,1.0%,16,1.5%,25,-1.9%,18,-0.8%
MIN,8-2,24,-10.2%,26,-11.9%,19,-4.7%,21,-6.0%,18,2.8%,19,2.6%,26,-2.7%,27,-3.3%
DEN,3-7,25,-10.2%,25,-11.7%,28,-16.1%,28,-15.9%,5,-12.1%,4,-11.1%,32,-6.1%,32,-6.9%
LV,3-7,26,-11.1%,23,-9.9%,15,4.0%,12,6.1%,32,17.2%,32,18.5%,9,2.2%,9,2.5%
LAR,3-7,27,-15.9%,27,-16.3%,25,-10.9%,25,-10.4%,16,1.2%,17,2.3%,30,-3.8%,28,-3.6%
CHI,3-8,28,-18.4%,28,-17.9%,21,-5.8%,19,-2.8%,30,11.8%,31,13.8%,19,-0.9%,23,-1.3%
IND,4-6-1,29,-22.6%,29,-20.7%,32,-26.0%,32,-24.1%,10,-6.5%,9,-7.2%,28,-3.1%,29,-3.7%
CAR,3-8,30,-25.6%,30,-25.3%,30,-22.0%,30,-20.7%,21,5.3%,21,6.1%,10,1.6%,11,1.5%
ARI,4-7,31,-27.4%,31,-27.1%,29,-18.6%,29,-18.6%,24,7.4%,23,7.3%,21,-1.4%,20,-1.2%
HOU,1-8-1,32,-30.3%,32,-30.6%,31,-22.1%,31,-22.5%,29,11.4%,27,11.2%,7,3.3%,8,3.1%

