Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,8-0,1,32.4%,1,33.0%,4,18.2%,3,18.5%,3,-16.3%,3,-16.2%,23,-2.1%,22,-1.8%
BUF,6-2,2,30.6%,3,27.0%,6,13.3%,6,13.2%,4,-14.5%,5,-11.6%,5,2.7%,6,2.2%
DAL,6-2,3,29.7%,2,32.6%,10,6.8%,9,9.3%,1,-18.5%,1,-18.8%,2,4.4%,2,4.5%
BAL,6-3,4,27.6%,4,26.0%,3,19.3%,4,18.3%,15,-1.4%,15,-1.2%,1,6.8%,1,6.5%
SEA,6-3,5,16.8%,5,19.0%,7,12.7%,7,13.0%,12,-1.9%,12,-3.9%,7,2.2%,7,2.1%
KC,6-2,6,15.6%,6,15.5%,1,22.0%,1,22.1%,23,7.4%,24,7.6%,14,1.0%,14,1.1%
CIN,5-4,7,11.8%,7,15.3%,9,8.1%,8,12.6%,8,-6.6%,9,-6.0%,27,-3.0%,27,-3.3%
NYJ,6-3,8,9.9%,8,12.3%,19,-1.8%,19,-1.1%,6,-9.7%,6,-11.4%,9,2.0%,8,2.1%
SF,4-4,9,9.0%,9,9.0%,13,4.0%,11,6.7%,9,-6.5%,11,-3.9%,21,-1.5%,21,-1.6%
TB,4-5,10,8.8%,11,6.2%,17,-0.4%,18,0.1%,7,-9.3%,7,-6.1%,19,-0.1%,19,0.0%
CLE,3-5,11,7.0%,10,7.0%,5,16.2%,5,16.2%,24,7.6%,22,7.0%,22,-1.6%,23,-2.1%
MIA,6-3,12,6.6%,12,5.5%,2,21.9%,2,21.3%,27,10.1%,27,10.8%,32,-5.2%,32,-5.1%
NE,5-4,13,4.9%,13,5.2%,25,-12.9%,26,-13.5%,5,-14.2%,4,-14.9%,3,3.5%,3,3.8%
JAX,3-6,14,1.5%,16,-0.5%,11,6.6%,12,6.4%,22,6.3%,25,8.5%,13,1.2%,12,1.6%
DEN,3-5,15,0.4%,15,0.0%,27,-13.6%,27,-13.9%,2,-18.4%,2,-18.4%,29,-4.3%,29,-4.5%
ATL,4-5,16,-1.1%,17,-1.4%,8,8.3%,10,8.1%,29,11.4%,28,11.4%,8,2.1%,9,1.9%
TEN,5-3,17,-1.6%,14,0.4%,22,-7.0%,23,-6.5%,10,-5.0%,8,-6.0%,16,0.5%,15,1.0%
MIN,7-1,18,-2.3%,19,-2.9%,16,2.6%,15,2.0%,19,2.6%,18,1.8%,25,-2.3%,26,-3.0%
NYG,6-2,19,-3.4%,18,-1.7%,14,3.8%,13,5.0%,25,7.7%,23,7.2%,15,0.6%,16,0.5%
LAC,5-3,20,-3.5%,21,-5.4%,20,-3.7%,21,-3.8%,17,1.2%,20,3.5%,11,1.4%,10,1.8%
GB,3-6,21,-3.9%,20,-4.8%,15,2.8%,16,1.8%,18,2.4%,17,1.7%,30,-4.4%,31,-4.9%
DET,2-6,22,-5.6%,24,-8.7%,12,4.6%,14,2.2%,26,10.0%,26,10.3%,20,-0.2%,20,-0.7%
NO,3-6,23,-7.5%,22,-6.6%,21,-4.7%,20,-3.6%,16,-0.7%,16,-0.3%,28,-3.5%,28,-3.3%
WAS,4-5,24,-9.5%,23,-8.6%,28,-14.3%,28,-14.4%,14,-1.7%,13,-2.2%,4,3.2%,4,3.6%
PIT,2-6,25,-13.4%,27,-16.8%,24,-10.6%,24,-11.0%,20,3.2%,21,6.1%,17,0.4%,17,0.3%
LV,2-6,26,-16.3%,25,-15.4%,18,-0.9%,17,1.0%,32,15.8%,32,16.7%,18,0.4%,18,0.2%
LAR,3-5,27,-16.7%,26,-15.8%,26,-13.5%,25,-12.8%,13,-1.8%,14,-1.6%,31,-4.9%,30,-4.5%
CHI,3-6,28,-19.0%,28,-18.6%,23,-7.8%,22,-6.3%,31,12.4%,31,13.7%,12,1.2%,13,1.4%
ARI,3-6,29,-22.7%,29,-21.2%,30,-16.1%,29,-15.6%,21,4.2%,19,3.0%,26,-2.4%,25,-2.5%
HOU,1-6-1,30,-25.2%,31,-25.2%,29,-16.1%,30,-16.4%,30,11.8%,29,11.4%,6,2.7%,5,2.7%
IND,3-5-1,31,-26.7%,30,-24.7%,32,-29.1%,32,-27.9%,11,-4.7%,10,-5.4%,24,-2.3%,24,-2.2%
CAR,2-7,32,-26.7%,32,-27.6%,31,-18.2%,31,-17.1%,28,10.2%,30,12.1%,10,1.6%,11,1.7%

