Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
ARI,8-1,1,33.5%,1,32.8%,4,13.9%,4,13.2%,2,-18.1%,2,-18.3%,6,1.5%,7,1.3%
TB,6-2,2,31.0%,2,30.5%,1,27.3%,1,27.5%,9,-5.8%,10,-5.6%,23,-2.1%,24,-2.6%
LAR,7-2,3,26.6%,4,25.4%,2,20.7%,2,19.0%,4,-9.4%,4,-9.5%,28,-3.5%,26,-3.1%
BUF,5-3,4,26.1%,3,27.3%,19,-1.2%,17,0.4%,1,-26.1%,1,-25.2%,8,1.2%,6,1.7%
DAL,6-2,5,19.5%,5,18.3%,3,14.1%,7,12.1%,7,-7.5%,6,-7.9%,24,-2.2%,21,-1.7%
CLE,5-4,6,16.7%,6,17.1%,5,13.3%,6,12.2%,12,-1.9%,12,-3.1%,5,1.5%,5,1.8%
SF,3-5,7,12.5%,7,13.1%,6,13.0%,5,13.0%,17,0.5%,15,0.0%,14,-0.1%,14,0.2%
NO,5-3,8,12.4%,10,11.8%,18,-0.7%,19,-0.7%,3,-11.1%,3,-10.6%,3,2.1%,4,1.9%
BAL,6-2,9,11.8%,9,12.7%,7,12.7%,3,13.6%,26,5.0%,25,4.8%,2,4.1%,2,3.8%
IND,4-5,10,10.2%,8,12.9%,12,7.4%,10,9.3%,11,-3.5%,11,-4.5%,18,-0.7%,18,-0.9%
MIN,3-5,11,8.5%,11,8.4%,15,3.4%,15,2.6%,8,-6.2%,7,-7.1%,19,-1.1%,19,-1.3%
SEA,3-5,12,8.0%,15,5.5%,8,11.5%,11,8.6%,24,3.6%,23,3.4%,13,0.1%,12,0.4%
NE,5-4,13,6.0%,12,7.5%,21,-3.3%,21,-2.3%,5,-8.8%,5,-8.9%,10,0.5%,8,0.9%
TEN,7-2,14,3.5%,13,7.0%,16,0.0%,16,1.1%,10,-4.1%,8,-5.8%,17,-0.6%,15,0.1%
LAC,5-3,15,2.8%,16,4.0%,9,10.5%,8,12.0%,20,1.6%,18,1.9%,31,-6.1%,31,-6.2%
GB,7-2,16,2.7%,14,5.7%,11,8.8%,9,10.0%,16,0.4%,13,-1.9%,30,-5.7%,30,-6.1%
KC,5-4,17,0.6%,18,-0.3%,10,9.0%,12,6.3%,28,12.6%,28,11.2%,1,4.2%,1,4.5%
PHI,3-6,18,0.2%,17,-0.3%,13,5.4%,13,5.7%,23,3.5%,24,4.2%,20,-1.7%,23,-1.9%
PIT,5-3,19,-0.3%,19,-0.8%,17,-0.1%,18,-0.4%,13,-0.3%,16,0.2%,16,-0.6%,16,-0.2%
DEN,5-4,20,-2.9%,20,-4.6%,14,4.7%,14,3.6%,22,2.6%,22,3.3%,29,-5.1%,29,-4.9%
LV,5-3,21,-4.8%,21,-4.9%,20,-1.7%,20,-1.0%,14,-0.1%,17,0.4%,26,-3.2%,27,-3.5%
CIN,5-4,22,-9.5%,22,-10.9%,23,-8.3%,24,-8.2%,18,1.2%,21,2.2%,15,-0.1%,17,-0.5%
NYG,3-6,23,-13.0%,23,-13.0%,26,-13.5%,28,-15.2%,15,0.3%,14,-1.5%,9,0.8%,9,0.7%
WAS,2-6,24,-17.0%,26,-19.7%,22,-4.8%,22,-6.0%,30,13.4%,31,14.2%,7,1.2%,10,0.5%
CHI,3-6,25,-17.3%,24,-18.0%,29,-16.1%,29,-16.1%,19,1.5%,19,2.2%,11,0.3%,13,0.3%
CAR,4-5,26,-20.0%,27,-24.4%,31,-25.6%,31,-28.7%,6,-7.5%,9,-5.7%,22,-2.0%,20,-1.4%
JAX,2-6,27,-23.2%,25,-19.5%,24,-9.2%,23,-6.9%,27,11.6%,27,10.0%,25,-2.5%,25,-2.6%
MIA,2-7,28,-23.6%,28,-24.7%,28,-15.4%,27,-15.1%,25,4.8%,26,6.0%,27,-3.4%,28,-3.5%
NYJ,2-6,29,-30.1%,29,-29.2%,27,-13.5%,26,-12.1%,32,16.8%,32,17.6%,12,0.2%,11,0.5%
HOU,1-8,30,-32.0%,32,-34.5%,32,-28.4%,32,-30.6%,21,1.6%,20,2.2%,21,-2.0%,22,-1.8%
DET,0-8,31,-33.9%,31,-34.0%,30,-22.5%,30,-24.4%,29,13.3%,29,11.9%,4,1.9%,3,2.3%
ATL,4-4,32,-34.0%,30,-30.2%,25,-13.5%,25,-10.1%,31,14.0%,30,13.7%,32,-6.6%,32,-6.5%

