Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,6-3,1,35.0%,1,32.6%,5,14.7%,5,14.8%,1,-16.9%,4,-14.4%,7,3.4%,7,3.4%
PHI,8-1,2,29.7%,2,29.9%,4,18.7%,3,19.2%,5,-13.1%,6,-12.5%,24,-2.1%,24,-1.8%
BAL,6-3,3,28.6%,4,25.8%,3,19.3%,4,17.3%,12,-2.6%,13,-2.4%,1,6.8%,1,6.1%
DAL,6-3,4,25.8%,3,26.6%,12,5.5%,9,7.0%,2,-15.9%,2,-15.3%,3,4.3%,3,4.4%
KC,7-2,5,19.3%,5,21.5%,1,26.1%,1,28.2%,22,6.7%,23,7.1%,18,-0.1%,16,0.4%
SEA,6-4,6,13.4%,6,16.1%,7,11.6%,7,12.1%,18,1.7%,14,-0.5%,5,3.5%,6,3.6%
MIA,7-3,7,13.2%,9,12.3%,2,25.2%,2,24.5%,23,6.8%,24,7.2%,32,-5.2%,31,-5.1%
TB,5-5,8,12.2%,10,10.2%,16,2.0%,14,3.4%,7,-10.3%,8,-6.8%,17,0.0%,18,0.1%
NYJ,6-3,9,12.2%,7,15.5%,19,-1.0%,18,0.2%,6,-11.2%,5,-13.7%,8,2.0%,10,1.6%
CIN,5-4,10,11.8%,8,14.5%,8,7.7%,6,12.2%,10,-7.1%,10,-5.8%,28,-3.0%,28,-3.5%
SF,5-4,11,10.3%,11,9.9%,14,2.9%,11,5.5%,8,-9.3%,9,-6.4%,23,-2.0%,25,-2.0%
NE,5-4,12,5.9%,13,5.7%,26,-13.5%,28,-15.5%,3,-15.9%,1,-17.0%,6,3.4%,4,4.1%
TEN,6-3,13,4.0%,12,7.2%,21,-5.5%,21,-4.8%,9,-8.0%,7,-10.0%,11,1.5%,8,2.0%
GB,4-6,14,2.2%,14,1.6%,9,7.2%,10,6.7%,17,0.4%,16,-0.3%,30,-4.5%,32,-5.4%
CLE,3-6,15,-1.7%,15,-2.9%,6,13.3%,8,11.9%,31,14.2%,30,13.7%,20,-0.9%,20,-1.1%
JAX,3-7,16,-3.2%,20,-6.7%,10,5.9%,13,5.3%,27,9.8%,29,13.0%,15,0.7%,15,1.0%
MIN,8-1,17,-3.2%,17,-3.8%,17,0.7%,19,-0.3%,19,1.7%,19,1.0%,25,-2.2%,26,-2.5%
ATL,4-6,18,-4.8%,19,-5.2%,11,5.8%,12,5.4%,30,12.5%,28,12.3%,9,1.8%,9,1.7%
NYG,7-2,19,-5.0%,16,-3.5%,15,2.5%,15,3.2%,24,7.9%,22,6.9%,16,0.4%,17,0.2%
DET,3-6,20,-5.1%,21,-7.7%,13,5.2%,16,3.2%,26,9.7%,25,9.7%,19,-0.6%,20,-1.1%
WAS,5-5,21,-6.3%,18,-4.0%,25,-13.1%,25,-12.0%,13,-1.9%,12,-2.5%,2,4.9%,2,5.6%
DEN,3-6,22,-6.7%,22,-7.9%,31,-17.6%,31,-17.6%,4,-15.4%,3,-14.4%,29,-4.4%,30,-4.7%
PIT,3-6,23,-7.0%,23,-8.2%,22,-7.3%,22,-7.9%,14,-1.3%,15,-0.4%,21,-0.9%,19,-0.8%
LAC,5-4,24,-10.9%,25,-12.7%,24,-9.8%,24,-10.0%,20,1.9%,21,3.9%,14,0.8%,14,1.2%
NO,3-7,25,-11.2%,24,-10.2%,23,-9.5%,23,-8.5%,16,-0.6%,18,0.1%,26,-2.4%,22,-1.6%
CHI,3-7,26,-15.6%,26,-15.1%,20,-4.9%,20,-2.7%,29,12.0%,31,13.7%,13,1.3%,13,1.3%
LV,2-7,27,-16.1%,27,-15.5%,18,0.1%,17,1.9%,32,17.6%,32,18.9%,12,1.5%,11,1.5%
LAR,3-6,28,-17.7%,28,-18.0%,27,-13.7%,26,-13.8%,15,-1.0%,17,-0.2%,31,-4.9%,29,-4.4%
ARI,4-6,29,-21.3%,29,-19.5%,28,-16.2%,29,-15.7%,21,3.3%,20,2.1%,22,-1.8%,23,-1.7%
CAR,3-7,30,-23.4%,31,-23.8%,29,-16.6%,27,-15.2%,25,8.5%,26,10.1%,10,1.7%,12,1.4%
IND,4-5-1,31,-24.8%,30,-22.9%,32,-26.9%,32,-24.4%,11,-5.0%,11,-5.0%,27,-2.9%,27,-3.5%
HOU,1-7-1,32,-25.4%,32,-24.9%,30,-17.2%,30,-16.7%,28,11.9%,27,11.9%,4,3.7%,5,3.7%

