Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,12-3,1,32.7%,2,29.9%,3,17.7%,3,18.6%,4,-12.2%,6,-8.7%,7,2.9%,7,2.7%
PHI,13-2,2,28.3%,3,27.6%,2,18.1%,4,18.5%,5,-10.4%,7,-7.8%,17,-0.3%,16,1.3%
SF,11-4,3,27.0%,1,36.9%,7,10.6%,5,18.3%,1,-16.2%,1,-17.2%,14,0.2%,12,1.4%
DAL,11-4,4,21.9%,6,21.7%,13,5.0%,10,7.5%,2,-13.7%,4,-10.9%,3,3.2%,5,3.3%
KC,12-3,5,19.1%,5,21.9%,1,24.1%,1,24.8%,21,4.3%,20,2.3%,18,-0.7%,23,-0.6%
BAL,10-5,6,18.7%,7,13.6%,9,8.3%,16,2.0%,8,-7.4%,5,-10.2%,4,3.1%,15,1.3%
CIN,11-4,7,16.2%,4,23.4%,5,14.7%,2,23.2%,14,-2.6%,15,-0.4%,20,-1.1%,22,-0.3%
MIA,8-7,8,8.5%,9,7.9%,4,14.8%,8,10.5%,18,2.4%,16,-0.1%,31,-3.8%,27,-2.7%
DET,7-8,9,4.4%,8,8.2%,6,11.4%,6,12.8%,28,9.9%,27,8.9%,5,3.0%,2,4.3%
SEA,7-8,10,4.4%,11,2.4%,12,5.9%,13,3.1%,26,5.9%,26,6.6%,1,4.4%,1,5.8%
GB,7-8,11,4.1%,10,7.8%,10,8.2%,9,9.1%,19,2.8%,19,1.2%,22,-1.3%,20,-0.1%
CLE,6-9,12,2.4%,14,1.4%,11,7.5%,14,3.1%,24,5.3%,22,3.1%,13,0.3%,13,1.4%
NYJ,7-8,13,2.1%,13,1.7%,21,-6.4%,25,-8.2%,6,-10.1%,3,-12.8%,24,-1.6%,28,-2.8%
JAX,7-8,14,2.1%,12,2.4%,8,10.0%,7,11.7%,27,8.7%,28,10.6%,12,0.7%,14,1.3%
NE,7-8,15,1.3%,17,-0.9%,27,-9.9%,28,-10.9%,3,-12.8%,2,-13.3%,24,-1.6%,30,-3.3%
TB,7-8,16,0.4%,24,-7.7%,17,-1.6%,18,-2.6%,9,-5.8%,18,0.4%,30,-3.7%,32,-4.7%
PIT,7-8,17,-2.0%,16,-0.7%,18,-1.9%,17,0.9%,12,-3.0%,12,-2.4%,29,-3.1%,31,-4.0%
ATL,5-10,18,-4.0%,20,-5.5%,14,4.9%,12,3.3%,30,11.6%,30,11.8%,8,2.7%,6,3.0%
WAS,7-7-1,19,-4.8%,15,-0.2%,28,-11.2%,26,-8.3%,11,-3.5%,10,-4.3%,6,2.9%,4,3.8%
NO,6-9,20,-5.7%,18,-2.1%,22,-6.7%,24,-6.0%,13,-2.8%,11,-3.9%,27,-1.7%,19,0.1%
LAC,9-6,21,-5.8%,22,-7.1%,25,-7.8%,27,-9.8%,15,-1.1%,14,-0.9%,11,1.0%,9,1.7%
LAR,5-10,22,-8.2%,19,-4.0%,24,-7.7%,22,-5.1%,16,-0.8%,17,-0.1%,21,-1.2%,17,1.1%
NYG,8-6-1,23,-8.2%,23,-7.2%,15,4.5%,11,6.4%,29,11.3%,31,12.3%,23,-1.3%,24,-1.3%
TEN,7-8,24,-8.4%,26,-9.7%,20,-5.0%,21,-4.9%,17,1.7%,21,3.1%,26,-1.6%,25,-1.8%
MIN,12-3,25,-9.4%,27,-11.8%,19,-2.3%,19,-4.3%,22,4.8%,25,5.4%,28,-2.2%,26,-2.2%
LV,6-9,26,-11.0%,21,-7.1%,16,0.3%,15,2.6%,31,12.4%,29,11.3%,10,1.2%,10,1.6%
DEN,4-11,27,-12.9%,28,-17.0%,30,-16.6%,30,-18.6%,7,-7.6%,9,-4.8%,32,-3.9%,29,-3.3%
CAR,6-9,28,-13.5%,25,-7.9%,26,-9.9%,20,-4.8%,23,5.2%,23,5.3%,9,1.6%,8,2.2%
CHI,3-12,29,-21.2%,30,-23.6%,23,-6.8%,23,-5.4%,32,14.3%,32,18.0%,16,-0.2%,21,-0.2%
ARI,4-11,30,-22.0%,29,-19.8%,29,-16.4%,29,-16.0%,25,5.6%,24,5.3%,15,0.0%,11,1.5%
HOU,2-12-1,31,-26.4%,31,-24.0%,31,-26.0%,31,-29.5%,20,4.0%,13,-1.3%,2,3.6%,3,4.2%
IND,4-10-1,32,-29.1%,32,-27.6%,32,-32.1%,32,-32.8%,10,-3.9%,8,-5.0%,19,-1.0%,18,0.2%

