Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DAL,11-5,1,27.4%,2,29.1%,8,10.3%,12,6.0%,3,-15.0%,2,-19.1%,5,2.0%,5,4.0%
TB,12-4,2,26.3%,7,23.3%,1,25.0%,2,21.3%,10,-3.6%,11,-4.9%,27,-2.4%,27,-3.0%
BUF,10-6,3,26.2%,5,23.7%,9,10.2%,7,12.3%,1,-15.3%,8,-10.5%,15,0.7%,16,1.0%
NE,10-6,4,24.9%,1,35.0%,10,10.1%,5,16.2%,2,-15.3%,1,-19.7%,21,-0.5%,22,-0.9%
LAR,12-4,5,22.4%,8,22.4%,6,11.2%,13,4.3%,6,-9.3%,5,-12.4%,6,1.9%,3,5.7%
KC,11-5,6,17.7%,3,26.0%,3,17.3%,4,16.6%,24,3.6%,12,-4.8%,2,3.9%,4,4.6%
SF,9-7,7,17.5%,9,20.8%,5,13.6%,6,14.0%,8,-6.4%,7,-10.6%,28,-2.5%,28,-3.7%
GB,13-3,8,16.6%,4,24.7%,2,23.5%,1,28.9%,19,1.6%,16,-1.5%,32,-5.3%,32,-5.7%
IND,9-7,9,14.9%,6,23.5%,12,7.9%,8,10.1%,7,-6.7%,4,-13.0%,16,0.3%,21,0.4%
ARI,11-5,10,14.1%,13,6.3%,14,4.6%,16,-0.6%,5,-9.4%,9,-7.8%,18,0.1%,23,-1.0%
LAC,9-7,11,9.4%,10,12.9%,4,17.2%,3,18.7%,26,6.2%,27,7.1%,23,-1.6%,13,1.3%
SEA,6-10,12,8.1%,12,7.5%,7,10.9%,11,6.6%,25,5.2%,24,2.9%,4,2.4%,7,3.7%
PHI,9-7,13,7.2%,11,8.7%,11,8.3%,9,8.2%,16,1.3%,18,0.5%,17,0.2%,15,1.0%
NO,8-8,14,5.3%,16,0.7%,24,-10.4%,27,-16.6%,4,-14.8%,3,-16.4%,12,0.9%,14,1.0%
CLE,7-9,15,2.8%,19,-3.2%,17,2.9%,20,-4.2%,14,-1.2%,13,-4.0%,22,-1.3%,26,-2.9%
CIN,10-6,16,1.6%,14,5.5%,16,2.9%,10,7.6%,22,2.7%,25,3.7%,9,1.4%,10,1.6%
MIN,7-9,17,1.6%,17,-1.1%,18,2.4%,17,-0.7%,18,1.6%,22,1.9%,13,0.8%,11,1.5%
BAL,8-8,18,-1.6%,22,-8.6%,15,3.4%,18,-1.4%,28,10.5%,30,13.1%,1,5.5%,2,5.9%
DEN,7-9,19,-2.5%,18,-1.4%,13,4.7%,14,2.7%,23,2.8%,17,0.1%,30,-4.3%,29,-4.0%
TEN,11-5,20,-2.9%,15,1.5%,22,-6.7%,22,-10.3%,9,-4.1%,6,-11.1%,20,-0.3%,18,0.7%
LV,9-7,21,-6.5%,20,-4.7%,19,-2.5%,19,-2.7%,21,2.2%,19,0.6%,25,-1.9%,25,-1.4%
CHI,6-10,22,-9.6%,21,-6.7%,25,-12.6%,23,-11.5%,13,-1.4%,14,-2.5%,7,1.6%,8,2.3%
PIT,8-7-1,23,-10.8%,26,-14.2%,23,-9.6%,25,-13.5%,15,1.2%,21,1.5%,19,-0.1%,17,0.8%
WAS,6-10,24,-12.3%,25,-13.7%,21,-5.8%,21,-10.0%,27,7.8%,26,4.2%,10,1.4%,20,0.6%
MIA,8-8,25,-13.4%,24,-10.7%,26,-13.4%,24,-12.5%,11,-3.6%,10,-5.9%,29,-3.6%,30,-4.1%
NYJ,4-12,26,-16.9%,23,-9.5%,20,-5.8%,15,-0.2%,32,15.0%,32,15.5%,3,3.9%,1,6.2%
CAR,5-11,27,-24.1%,30,-34.7%,30,-24.0%,31,-30.5%,12,-1.9%,23,2.9%,26,-2.0%,24,-1.3%
HOU,4-12,28,-24.7%,28,-23.3%,31,-24.4%,30,-25.8%,17,1.6%,20,1.3%,11,1.2%,6,3.8%
NYG,4-12,29,-26.8%,29,-34.6%,32,-25.6%,32,-36.8%,20,2.0%,15,-1.6%,14,0.8%,19,0.7%
ATL,7-9,30,-30.1%,27,-21.8%,27,-17.1%,26,-14.5%,29,11.4%,28,8.7%,24,-1.7%,12,1.4%
DET,2-13-1,31,-32.8%,31,-36.0%,29,-20.4%,29,-23.9%,30,13.9%,31,13.9%,8,1.5%,9,1.8%
JAX,2-14,32,-36.6%,32,-38.6%,28,-17.4%,28,-20.2%,31,14.5%,29,12.8%,31,-4.7%,31,-5.6%

