Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,7-3,1,30.3%,1,31.1%,1,25.6%,1,24.4%,7,-5.9%,7,-7.6%,23,-1.2%,23,-0.9%
ARI,9-2,2,22.8%,3,20.4%,10,8.2%,10,6.2%,3,-14.2%,4,-14.4%,11,0.3%,19,-0.2%
DAL,7-3,3,22.1%,4,19.5%,8,9.3%,11,5.2%,4,-13.7%,3,-14.9%,22,-0.9%,20,-0.7%
NE,7-4,4,22.0%,2,27.4%,16,2.3%,13,4.7%,2,-18.5%,1,-20.9%,6,1.2%,4,1.9%
BUF,6-4,5,20.5%,6,18.0%,18,1.4%,18,1.3%,1,-19.4%,2,-16.8%,18,-0.3%,17,-0.1%
LAR,7-3,6,18.5%,8,15.1%,2,16.4%,4,13.0%,8,-5.3%,8,-4.9%,26,-3.2%,25,-2.8%
SF,5-5,7,16.6%,5,18.3%,4,13.6%,3,13.3%,11,-2.0%,11,-3.5%,8,1.0%,6,1.5%
NO,5-5,8,12.3%,10,11.0%,17,2.2%,17,1.5%,5,-9.9%,6,-9.2%,13,0.1%,14,0.3%
IND,6-5,9,12.1%,7,15.7%,11,7.6%,7,9.3%,9,-3.2%,9,-4.7%,5,1.3%,5,1.7%
KC,7-4,10,10.7%,11,10.9%,6,11.6%,9,8.2%,23,4.5%,17,1.2%,1,3.5%,1,3.9%
MIN,5-5,11,10.1%,9,11.2%,9,9.1%,8,9.0%,13,-1.1%,14,-1.8%,14,0.0%,12,0.4%
PHI,5-6,12,8.6%,12,10.5%,7,10.3%,6,11.0%,18,2.2%,16,1.1%,10,0.4%,9,0.6%
GB,8-3,13,7.7%,13,9.2%,5,13.2%,5,13.0%,14,0.4%,13,-1.8%,29,-5.1%,30,-5.5%
LAC,6-4,14,5.7%,14,6.5%,3,16.2%,2,17.5%,21,3.0%,20,3.4%,31,-7.5%,32,-7.6%
BAL,7-3,15,4.3%,15,2.3%,14,5.6%,14,4.5%,25,4.7%,24,5.0%,2,3.5%,2,2.8%
SEA,3-7,16,3.5%,16,0.2%,13,6.3%,16,1.6%,20,3.0%,19,2.0%,12,0.3%,10,0.5%
CLE,6-5,17,2.4%,17,-1.5%,12,7.0%,12,5.2%,24,4.5%,27,6.0%,15,-0.1%,21,-0.7%
TEN,8-3,18,-5.2%,18,-3.2%,22,-5.8%,22,-6.4%,12,-1.3%,12,-3.3%,19,-0.7%,18,-0.2%
DEN,5-5,19,-7.4%,19,-8.7%,15,2.6%,15,2.8%,26,4.8%,28,6.2%,30,-5.2%,29,-5.3%
CAR,5-6,20,-7.7%,22,-10.1%,29,-16.8%,29,-19.5%,6,-9.8%,5,-9.3%,20,-0.7%,15,0.1%
CIN,6-4,21,-9.0%,24,-12.2%,23,-8.6%,24,-9.3%,16,1.2%,20,3.4%,9,0.8%,11,0.5%
PIT,5-4-1,22,-9.5%,20,-9.3%,21,-4.5%,21,-4.2%,27,4.9%,25,5.4%,17,-0.2%,13,0.3%
LV,5-5,23,-10.1%,21,-10.1%,20,-4.0%,20,-3.2%,22,3.1%,22,3.6%,25,-3.0%,26,-3.3%
WAS,4-6,24,-11.0%,23,-10.8%,19,-0.2%,19,-0.5%,31,12.4%,30,11.0%,4,1.6%,8,0.8%
NYG,3-7,25,-15.0%,25,-13.9%,26,-14.3%,28,-16.0%,17,1.7%,15,-1.0%,7,1.0%,7,1.1%
CHI,3-7,26,-17.2%,26,-16.7%,28,-15.2%,26,-14.0%,15,1.1%,18,1.7%,21,-0.9%,24,-1.0%
MIA,4-7,27,-21.6%,28,-22.5%,27,-15.0%,27,-14.6%,19,2.9%,23,4.0%,27,-3.6%,27,-3.8%
JAX,2-8,28,-23.4%,27,-20.0%,25,-10.3%,25,-10.1%,29,9.3%,26,5.7%,28,-3.8%,28,-4.2%
HOU,2-8,29,-24.6%,29,-24.0%,32,-26.4%,32,-27.7%,10,-3.2%,10,-4.4%,24,-1.4%,22,-0.8%
DET,0-9-1,30,-28.5%,30,-29.4%,30,-21.6%,31,-24.4%,28,8.6%,29,6.9%,3,1.7%,3,2.0%
NYJ,2-8,31,-30.5%,31,-31.0%,24,-9.0%,23,-6.7%,32,21.4%,32,24.2%,16,-0.2%,16,-0.1%
ATL,4-6,32,-43.7%,32,-43.2%,31,-24.1%,30,-24.2%,30,11.9%,31,11.5%,32,-7.7%,31,-7.6%

