Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,1-0,1,69.7%,1,69.7%,6,20.0%,6,20.0%,1,-45.9%,1,-45.9%,7,3.8%,7,3.8%
BAL,1-0,2,46.0%,2,46.0%,3,28.6%,3,28.6%,8,-16.9%,8,-16.9%,13,0.4%,13,0.4%
LAC,1-0,3,42.1%,3,42.1%,11,11.8%,11,11.8%,3,-33.7%,3,-33.7%,22,-3.4%,22,-3.4%
KC,1-0,4,38.7%,4,38.7%,1,44.5%,1,44.5%,16,0.5%,16,0.5%,24,-5.3%,24,-5.3%
TB,1-0,5,37.8%,5,37.8%,17,-0.3%,17,-0.3%,2,-40.8%,2,-40.8%,21,-2.7%,21,-2.7%
MIN,1-0,6,33.1%,6,33.1%,2,31.9%,2,31.9%,18,3.0%,18,3.0%,5,4.2%,5,4.2%
CLE,1-0,7,27.5%,7,27.5%,9,13.9%,9,13.9%,10,-8.7%,10,-8.7%,4,4.9%,4,4.9%
PIT,1-0,8,18.8%,8,18.8%,26,-17.0%,26,-17.0%,4,-31.9%,4,-31.9%,6,3.8%,6,3.8%
MIA,1-0,9,17.3%,9,17.3%,16,0.0%,16,0.0%,9,-14.3%,9,-14.3%,9,3.0%,9,3.0%
ATL,0-1,10,14.1%,10,14.1%,5,20.3%,5,20.3%,25,15.0%,25,15.0%,3,8.7%,3,8.7%
HOU,0-0-1,11,7.9%,11,7.9%,19,-2.0%,19,-2.0%,14,-0.4%,14,-0.4%,2,9.5%,2,9.5%
PHI,1-0,12,4.4%,12,4.4%,7,19.4%,7,19.4%,21,11.2%,21,11.2%,23,-3.8%,23,-3.8%
JAX,0-1,13,3.6%,13,3.6%,12,10.6%,12,10.6%,17,0.6%,17,0.6%,28,-6.3%,28,-6.3%
TEN,0-1,14,2.8%,14,2.8%,10,12.5%,10,12.5%,19,3.5%,19,3.5%,27,-6.2%,27,-6.2%
DEN,0-1,15,-0.7%,15,-0.7%,18,-0.7%,18,-0.7%,11,-6.0%,11,-6.0%,26,-6.0%,26,-6.0%
WAS,1-0,16,-0.9%,16,-0.9%,13,10.0%,13,10.0%,22,11.6%,22,11.6%,12,0.7%,12,0.7%
SF,0-1,17,-1.7%,17,-1.7%,28,-25.5%,28,-25.5%,5,-22.6%,5,-22.6%,11,1.3%,11,1.3%
NO,1-0,18,-2.1%,18,-2.1%,4,25.5%,4,25.5%,29,21.7%,29,21.7%,25,-5.9%,25,-5.9%
NE,0-1,19,-5.3%,19,-5.3%,23,-10.7%,23,-10.7%,13,-2.5%,13,-2.5%,10,2.9%,10,2.9%
SEA,1-0,20,-6.3%,20,-6.3%,21,-3.6%,21,-3.6%,23,12.7%,23,12.7%,1,10.0%,1,10.0%
CHI,1-0,21,-6.6%,21,-6.6%,25,-14.8%,25,-14.8%,7,-17.0%,7,-17.0%,30,-8.9%,30,-8.9%
DET,0-1,22,-6.6%,22,-6.6%,8,14.6%,8,14.6%,28,21.1%,28,21.1%,15,-0.1%,15,-0.1%
IND,0-0-1,23,-11.0%,23,-11.0%,20,-3.6%,20,-3.6%,12,-4.9%,12,-4.9%,32,-12.3%,32,-12.3%
GB,0-1,24,-16.1%,24,-16.1%,14,9.7%,14,9.7%,31,25.3%,31,25.3%,16,-0.5%,16,-0.5%
CIN,0-1,25,-19.0%,25,-19.0%,30,-33.0%,30,-33.0%,6,-21.5%,6,-21.5%,29,-7.4%,29,-7.4%
NYG,1-0,26,-19.7%,26,-19.7%,15,4.6%,15,4.6%,30,23.0%,30,23.0%,20,-1.3%,20,-1.3%
CAR,0-1,27,-36.4%,27,-36.4%,27,-22.5%,27,-22.5%,24,12.8%,24,12.8%,19,-1.1%,19,-1.1%
LV,0-1,28,-37.2%,28,-37.2%,29,-30.5%,29,-30.5%,20,9.7%,20,9.7%,8,3.0%,8,3.0%
NYJ,0-1,29,-37.8%,29,-37.8%,22,-10.5%,22,-10.5%,26,18.3%,26,18.3%,31,-9.1%,31,-9.1%
DAL,0-1,30,-50.0%,30,-50.0%,32,-49.0%,32,-49.0%,15,0.2%,15,0.2%,18,-0.9%,18,-0.9%
ARI,0-1,31,-61.4%,31,-61.4%,24,-14.4%,24,-14.4%,32,47.0%,32,47.0%,14,0.0%,14,0.0%
LAR,0-1,32,-66.3%,32,-66.3%,31,-45.5%,31,-45.5%,27,20.1%,27,20.1%,17,-0.7%,17,-0.7%

