Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,5-1,1,43.3%,1,42.9%,1,20.1%,1,20.1%,1,-20.8%,1,-20.4%,6,2.4%,6,2.4%
PHI,6-0,2,29.1%,2,29.7%,5,14.6%,5,14.7%,5,-17.2%,4,-17.6%,25,-2.7%,25,-2.7%
BAL,3-3,3,23.2%,3,22.9%,3,17.4%,3,17.3%,16,0.6%,14,0.9%,1,6.4%,1,6.5%
DAL,4-2,4,19.8%,4,21.0%,17,-0.3%,17,0.5%,6,-16.7%,5,-16.9%,4,3.5%,4,3.5%
SF,3-3,5,16.4%,5,17.0%,15,2.3%,15,3.0%,3,-17.7%,3,-17.7%,27,-3.7%,27,-3.8%
TB,3-3,6,15.4%,6,15.0%,16,0.6%,16,0.6%,4,-17.3%,6,-16.9%,24,-2.4%,24,-2.4%
KC,4-2,7,10.1%,7,9.7%,2,18.2%,2,17.8%,28,8.6%,27,8.7%,19,0.5%,19,0.6%
JAX,2-4,8,9.2%,8,9.6%,11,6.3%,11,6.4%,10,-2.1%,10,-2.3%,18,0.8%,17,0.9%
SEA,3-3,9,6.7%,11,6.8%,4,14.7%,4,14.8%,22,6.5%,21,6.3%,23,-1.5%,23,-1.7%
NE,3-3,10,6.7%,9,6.9%,22,-3.5%,22,-3.1%,7,-9.2%,7,-9.2%,16,0.9%,18,0.9%
LAC,4-2,11,6.4%,12,5.9%,12,5.7%,12,5.7%,14,0.3%,15,0.9%,15,1.0%,14,1.1%
CIN,3-3,12,6.2%,10,6.9%,21,-3.1%,21,-2.2%,8,-8.2%,8,-7.9%,14,1.1%,12,1.2%
ATL,3-3,13,4.9%,13,4.7%,7,12.3%,7,12.2%,29,9.7%,30,9.7%,7,2.3%,8,2.2%
DEN,2-4,14,0.4%,15,0.4%,27,-14.6%,27,-14.6%,2,-19.0%,2,-19.0%,28,-4.1%,28,-4.0%
NYJ,4-2,15,0.3%,14,0.8%,23,-4.2%,23,-3.9%,12,-0.2%,12,-0.3%,3,4.2%,2,4.4%
MIA,3-3,16,-2.5%,17,-3.0%,6,12.7%,6,12.9%,25,8.3%,28,8.8%,32,-6.9%,32,-7.1%
MIN,5-1,17,-3.0%,18,-3.5%,14,4.1%,14,3.8%,21,6.2%,22,6.3%,22,-0.8%,22,-0.9%
NYG,5-1,18,-3.2%,16,-2.9%,13,5.5%,13,5.6%,30,9.8%,29,9.7%,12,1.1%,13,1.1%
TEN,3-2,19,-4.7%,20,-4.8%,19,-1.6%,20,-1.7%,17,4.3%,18,4.4%,11,1.2%,11,1.3%
GB,3-3,20,-5.0%,19,-4.7%,10,6.5%,10,6.6%,24,7.2%,24,6.9%,30,-4.3%,30,-4.4%
CLE,2-4,21,-5.1%,21,-5.3%,8,10.9%,8,11.0%,31,15.6%,31,15.7%,21,-0.5%,21,-0.6%
LAR,3-3,22,-7.3%,22,-6.7%,25,-9.3%,25,-8.8%,9,-6.2%,9,-6.3%,29,-4.2%,29,-4.3%
PIT,2-4,23,-8.7%,24,-9.4%,24,-8.1%,24,-8.0%,15,0.5%,16,1.3%,20,-0.1%,20,-0.2%
LV,1-4,24,-9.3%,23,-8.7%,20,-1.8%,18,-1.1%,27,8.6%,26,8.6%,13,1.1%,15,1.0%
DET,1-4,25,-10.6%,25,-11.0%,9,7.6%,9,7.3%,32,19.7%,32,19.9%,10,1.5%,10,1.5%
NO,2-4,26,-11.6%,26,-11.6%,18,-1.4%,19,-1.5%,18,4.5%,17,4.4%,31,-5.7%,31,-5.7%
WAS,2-4,27,-16.3%,27,-16.7%,29,-19.1%,29,-19.5%,11,-0.3%,11,-0.3%,5,2.5%,5,2.5%
HOU,1-3-1,28,-20.4%,28,-20.7%,28,-16.3%,28,-16.5%,26,8.5%,25,8.5%,2,4.3%,3,4.2%
ARI,2-4,29,-22.1%,29,-21.4%,26,-13.1%,26,-12.9%,20,6.2%,20,5.6%,26,-2.8%,26,-2.9%
IND,3-2-1,30,-23.4%,30,-23.5%,31,-24.3%,31,-24.5%,13,-0.1%,13,-0.1%,17,0.8%,16,1.0%
CHI,2-4,31,-24.5%,31,-25.0%,30,-22.0%,30,-22.2%,19,4.5%,19,5.0%,8,2.0%,7,2.2%
CAR,1-5,32,-29.8%,32,-29.6%,32,-25.1%,32,-24.9%,23,6.7%,23,6.8%,9,2.0%,9,2.1%

