Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,1-0,1,77.5%,1,77.5%,7,25.5%,7,25.5%,1,-45.8%,1,-45.8%,5,6.3%,5,6.3%
LAR,1-0,2,66.7%,2,66.7%,2,56.6%,2,56.6%,12,-9.0%,12,-9.0%,12,1.1%,12,1.1%
PHI,1-0,3,56.0%,3,56.0%,9,21.8%,9,21.8%,4,-31.8%,4,-31.8%,8,2.4%,8,2.4%
ARI,1-0,4,50.8%,4,50.8%,13,11.7%,13,11.7%,2,-41.8%,2,-41.8%,20,-2.7%,20,-2.7%
SF,1-0,5,39.2%,5,39.2%,3,35.8%,3,35.8%,13,-8.3%,13,-8.3%,25,-4.9%,25,-4.9%
SEA,1-0,6,35.1%,6,35.1%,5,29.5%,5,29.5%,14,-7.2%,14,-7.2%,16,-1.7%,16,-1.7%
CAR,1-0,7,33.8%,7,33.8%,15,0.2%,15,0.2%,3,-35.8%,3,-35.8%,18,-2.2%,18,-2.2%
HOU,1-0,8,29.1%,8,29.1%,17,-1.7%,17,-1.7%,6,-28.0%,6,-28.0%,7,2.8%,7,2.8%
DEN,1-0,9,20.5%,9,20.5%,6,26.6%,6,26.6%,20,5.8%,20,5.8%,14,-0.3%,14,-0.3%
MIA,1-0,10,17.1%,10,17.1%,14,5.0%,14,5.0%,10,-9.8%,10,-9.8%,9,2.3%,9,2.3%
CLE,0-1,11,17.1%,11,17.1%,1,57.1%,1,57.1%,28,30.4%,28,30.4%,29,-9.7%,29,-9.7%
CIN,1-0,12,14.4%,12,14.4%,12,12.8%,12,12.8%,19,5.3%,19,5.3%,4,6.9%,4,6.9%
TB,1-0,13,13.6%,13,13.6%,10,17.5%,10,17.5%,24,16.3%,24,16.3%,1,12.4%,1,12.4%
MIN,0-1,14,7.1%,14,7.1%,16,-1.1%,16,-1.1%,18,2.4%,18,2.4%,2,10.6%,2,10.6%
LAC,1-0,15,5.4%,15,5.4%,20,-5.0%,20,-5.0%,7,-14.5%,7,-14.5%,24,-4.2%,24,-4.2%
PIT,1-0,16,4.2%,16,4.2%,26,-14.0%,26,-14.0%,5,-28.7%,5,-28.7%,30,-10.6%,30,-10.6%
LV,1-0,17,3.5%,17,3.5%,21,-6.9%,21,-6.9%,9,-13.0%,9,-13.0%,19,-2.6%,19,-2.6%
WAS,0-1,18,1.6%,18,1.6%,23,-12.1%,23,-12.1%,11,-9.0%,11,-9.0%,6,4.6%,6,4.6%
NYG,0-1,19,-1.6%,19,-1.6%,11,15.8%,11,15.8%,23,15.2%,23,15.2%,17,-2.2%,17,-2.2%
NE,0-1,20,-5.4%,20,-5.4%,18,-3.6%,18,-3.6%,16,-1.4%,16,-1.4%,22,-3.2%,22,-3.2%
BAL,0-1,21,-8.0%,21,-8.0%,25,-13.7%,25,-13.7%,17,1.7%,17,1.7%,3,7.5%,3,7.5%
DAL,0-1,22,-8.3%,22,-8.3%,8,23.0%,8,23.0%,22,13.6%,22,13.6%,32,-17.7%,32,-17.7%
KC,1-0,23,-8.3%,23,-8.3%,4,32.2%,4,32.2%,31,42.0%,31,42.0%,11,1.4%,11,1.4%
BUF,0-1,24,-20.0%,24,-20.0%,27,-26.1%,27,-26.1%,8,-13.1%,8,-13.1%,28,-7.0%,28,-7.0%
IND,0-1,25,-27.3%,25,-27.3%,19,-3.7%,19,-3.7%,25,23.6%,25,23.6%,13,0.0%,13,0.0%
NYJ,0-1,26,-41.2%,26,-41.2%,28,-31.6%,28,-31.6%,21,8.1%,21,8.1%,15,-1.6%,15,-1.6%
JAX,0-1,27,-42.2%,27,-42.2%,29,-38.8%,29,-38.8%,15,-2.1%,15,-2.1%,26,-5.5%,26,-5.5%
CHI,0-1,28,-50.8%,28,-50.8%,22,-7.2%,22,-7.2%,32,45.2%,32,45.2%,10,1.6%,10,1.6%
DET,0-1,29,-54.6%,29,-54.6%,24,-12.9%,24,-12.9%,30,35.9%,30,35.9%,27,-5.8%,27,-5.8%
ATL,0-1,30,-75.9%,30,-75.9%,30,-47.4%,30,-47.4%,27,25.5%,27,25.5%,21,-3.0%,21,-3.0%
TEN,0-1,31,-88.3%,31,-88.3%,31,-51.2%,31,-51.2%,26,23.7%,26,23.7%,31,-13.4%,31,-13.4%
GB,0-1,32,-94.8%,32,-94.8%,32,-58.9%,32,-58.9%,29,32.0%,29,32.0%,23,-4.0%,23,-4.0%

