Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,10-4,1,27.4%,2,26.3%,1,25.1%,2,22.5%,8,-5.4%,9,-7.6%,27,-3.1%,29,-3.8%
DAL,10-4,2,26.4%,3,25.4%,8,8.8%,13,2.9%,3,-15.6%,2,-18.4%,4,2.1%,4,4.0%
BUF,8-6,3,24.5%,5,22.5%,11,7.4%,10,7.5%,2,-16.8%,3,-14.5%,16,0.4%,17,0.6%
LAR,10-4,4,22.4%,8,20.5%,6,13.9%,9,7.9%,6,-8.7%,5,-11.1%,17,-0.1%,11,1.5%
NE,9-5,5,20.6%,1,28.4%,15,4.2%,11,6.0%,1,-16.9%,1,-23.1%,19,-0.5%,20,-0.7%
SF,8-6,6,18.1%,7,20.9%,4,15.5%,4,16.4%,7,-5.5%,8,-8.3%,25,-2.9%,30,-3.8%
KC,10-4,7,17.9%,4,24.1%,5,14.2%,5,11.9%,14,0.3%,10,-7.6%,2,4.0%,2,4.7%
IND,8-6,8,14.6%,6,20.9%,10,8.2%,6,10.5%,9,-5.3%,7,-8.5%,13,1.1%,9,1.9%
ARI,10-4,9,14.4%,11,8.0%,17,2.8%,18,-1.7%,5,-10.4%,6,-8.8%,12,1.2%,16,0.9%
GB,11-3,10,11.3%,9,15.5%,2,20.6%,1,23.4%,22,2.8%,19,0.2%,32,-6.5%,32,-7.6%
LAC,8-6,11,9.3%,10,12.0%,3,16.8%,3,18.4%,24,3.4%,23,3.3%,31,-4.1%,26,-3.1%
NO,7-7,12,8.1%,15,3.4%,21,-5.7%,23,-9.5%,4,-13.0%,4,-12.0%,15,0.8%,15,0.9%
MIN,7-7,13,5.9%,14,6.1%,14,5.3%,12,4.1%,16,1.2%,21,1.3%,5,1.8%,6,3.3%
PHI,7-7,14,5.6%,12,6.8%,7,9.2%,7,9.5%,23,3.2%,22,2.7%,18,-0.4%,19,-0.1%
CLE,7-7,15,4.4%,18,-0.1%,12,6.7%,14,2.0%,15,1.0%,15,-0.5%,21,-1.3%,24,-2.6%
SEA,5-9,16,3.6%,16,0.6%,13,6.1%,15,1.0%,26,5.2%,25,4.5%,3,2.8%,3,4.2%
BAL,8-6,17,3.6%,17,0.4%,16,3.7%,16,0.6%,27,5.9%,27,5.9%,1,5.7%,1,5.7%
DEN,7-7,18,2.3%,13,6.2%,9,8.2%,8,9.2%,21,2.3%,14,-0.6%,29,-3.6%,28,-3.5%
CIN,8-6,19,-1.8%,19,-1.8%,20,-4.8%,20,-5.5%,11,-1.5%,13,-2.2%,9,1.5%,10,1.6%
LV,7-7,20,-8.4%,21,-9.6%,18,-0.4%,17,-0.2%,25,5.1%,28,6.2%,26,-2.9%,27,-3.3%
PIT,7-6-1,21,-8.5%,25,-11.6%,22,-5.8%,22,-7.5%,20,2.3%,24,4.2%,20,-0.5%,18,0.1%
WAS,6-8,22,-9.5%,20,-9.3%,19,-3.8%,19,-5.3%,28,7.4%,26,5.4%,6,1.7%,13,1.4%
TEN,9-5,23,-9.9%,22,-10.4%,24,-8.4%,25,-11.9%,13,-0.5%,11,-3.5%,23,-2.0%,23,-1.9%
CHI,4-10,24,-13.3%,23,-11.2%,26,-13.2%,26,-12.5%,18,1.6%,20,1.0%,8,1.6%,7,2.3%
MIA,7-7,25,-13.9%,24,-11.4%,25,-11.8%,24,-11.8%,12,-0.7%,12,-3.1%,24,-2.8%,25,-2.7%
NYG,4-10,26,-17.4%,26,-18.9%,28,-16.4%,30,-20.7%,19,2.1%,16,-0.4%,14,1.1%,12,1.4%
CAR,5-9,27,-21.3%,28,-25.8%,31,-21.2%,31,-24.2%,10,-1.8%,18,0.2%,22,-1.9%,21,-1.4%
NYJ,3-11,28,-23.7%,27,-21.2%,23,-8.1%,21,-5.9%,32,16.9%,32,17.2%,10,1.3%,8,2.0%
DET,2-11-1,29,-26.4%,29,-26.1%,29,-17.5%,28,-19.0%,29,10.2%,30,8.5%,11,1.3%,14,1.4%
HOU,3-11,30,-29.0%,31,-29.2%,32,-29.3%,32,-32.8%,17,1.3%,17,-0.2%,7,1.6%,5,3.4%
JAX,2-12,31,-30.8%,30,-28.7%,27,-16.0%,27,-18.4%,30,11.1%,29,6.3%,30,-3.7%,31,-4.1%
ATL,6-8,32,-37.0%,32,-35.1%,30,-19.7%,29,-20.1%,31,14.2%,31,13.2%,28,-3.2%,22,-1.9%

