Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,9-3,1,32.8%,3,29.6%,4,16.1%,5,15.5%,4,-13.0%,5,-10.1%,3,3.7%,4,4.0%
DAL,9-3,2,30.7%,1,33.5%,11,7.4%,6,10.3%,1,-20.1%,1,-19.8%,5,3.2%,6,3.4%
PHI,11-1,3,30.0%,2,30.0%,3,19.4%,3,20.4%,6,-11.7%,6,-10.1%,21,-1.2%,20,-0.5%
BAL,8-4,4,23.8%,6,21.7%,6,11.6%,8,8.9%,9,-7.0%,8,-7.9%,1,5.3%,1,4.9%
SF,8-4,5,19.7%,4,24.0%,14,4.8%,12,8.5%,2,-15.2%,3,-14.8%,17,-0.2%,12,0.8%
CIN,8-4,6,18.1%,5,22.0%,5,15.0%,2,21.1%,11,-4.5%,13,-2.6%,24,-1.5%,24,-1.6%
KC,9-3,7,17.7%,7,20.8%,1,24.9%,1,27.0%,25,7.0%,24,6.2%,16,-0.2%,16,0.0%
MIA,8-4,8,14.1%,8,16.2%,2,20.1%,4,20.4%,17,1.1%,15,-0.2%,32,-4.9%,31,-4.4%
NYJ,7-5,9,9.5%,9,11.2%,19,-2.9%,19,-2.6%,5,-12.5%,4,-14.7%,14,-0.1%,23,-0.9%
SEA,7-5,10,8.9%,10,10.2%,8,9.6%,10,8.8%,20,4.4%,19,3.4%,2,3.7%,2,4.8%
TB,6-6,11,7.7%,13,4.0%,16,1.5%,16,2.0%,8,-8.5%,10,-4.0%,29,-2.3%,28,-2.1%
NE,6-6,12,7.1%,12,6.3%,24,-8.8%,24,-10.1%,3,-14.8%,2,-15.2%,10,1.1%,10,1.2%
DET,5-7,13,6.2%,11,8.7%,9,8.8%,13,8.0%,19,3.9%,17,0.7%,9,1.3%,9,1.4%
CLE,5-7,14,1.6%,14,3.0%,7,10.6%,7,9.9%,27,8.9%,25,7.0%,15,-0.2%,15,0.2%
GB,5-8,15,0.9%,15,1.9%,10,8.7%,9,8.9%,22,4.7%,21,4.0%,30,-3.1%,30,-3.0%
TEN,7-5,16,-1.5%,16,0.4%,20,-3.7%,22,-3.1%,12,-2.6%,11,-3.9%,18,-0.5%,19,-0.3%
WAS,7-5-1,17,-2.8%,17,0.3%,26,-12.0%,25,-10.4%,10,-5.7%,9,-6.6%,4,3.4%,3,4.2%
PIT,5-7,18,-3.3%,18,-3.6%,21,-3.9%,21,-2.7%,13,-2.4%,14,-1.2%,27,-1.9%,29,-2.1%
ATL,5-8,19,-3.3%,19,-4.1%,12,5.5%,14,4.8%,30,12.0%,29,12.3%,6,3.2%,5,3.5%
MIN,10-2,20,-5.6%,22,-6.8%,18,-1.5%,20,-2.7%,18,3.1%,20,3.5%,20,-0.9%,21,-0.7%
NYG,7-4-1,21,-5.9%,20,-6.2%,15,4.3%,15,4.6%,28,9.6%,28,10.1%,19,-0.6%,22,-0.8%
NO,4-9,22,-7.7%,21,-6.7%,23,-6.3%,23,-6.4%,15,0.0%,16,0.2%,23,-1.4%,17,-0.1%
LV,5-7,23,-9.6%,23,-7.4%,13,5.3%,11,8.5%,31,15.6%,31,16.7%,11,0.7%,13,0.7%
JAX,4-8,24,-10.3%,25,-13.6%,17,1.0%,17,0.2%,29,11.7%,30,14.4%,13,0.4%,14,0.7%
DEN,3-9,25,-10.3%,24,-11.6%,28,-16.1%,29,-16.2%,7,-10.6%,7,-9.5%,31,-4.9%,32,-4.8%
LAC,6-6,26,-14.2%,28,-18.1%,25,-9.8%,26,-11.9%,23,5.1%,26,7.1%,12,0.6%,11,0.9%
LAR,3-9,27,-14.8%,26,-15.2%,27,-12.2%,27,-12.3%,16,1.1%,18,2.7%,25,-1.5%,18,-0.2%
CAR,3-9,28,-20.0%,27,-18.0%,30,-17.5%,28,-15.8%,21,4.5%,22,4.6%,8,2.0%,7,2.4%
CHI,3-10,29,-22.1%,29,-22.8%,22,-4.2%,18,-0.7%,32,16.7%,32,20.1%,22,-1.2%,27,-1.9%
ARI,4-8,30,-25.4%,30,-25.8%,29,-16.5%,30,-16.5%,24,6.8%,27,7.5%,28,-2.1%,25,-1.8%
IND,4-8-1,31,-29.2%,31,-27.2%,31,-29.4%,31,-28.5%,14,-1.9%,12,-3.2%,26,-1.7%,26,-1.9%
HOU,1-10-1,32,-36.1%,32,-37.0%,32,-31.4%,32,-34.1%,26,7.0%,23,5.0%,7,2.3%,8,2.1%

