Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DAL,12-5,1,30.9%,1,34.6%,6,13.6%,7,11.4%,2,-15.2%,1,-19.1%,6,2.1%,5,4.1%
BUF,11-6,2,27.7%,3,26.2%,10,9.7%,8,11.3%,1,-18.0%,3,-14.9%,19,-0.1%,20,-0.1%
TB,13-4,3,27.6%,4,25.9%,1,26.7%,1,24.2%,9,-3.3%,12,-4.5%,27,-2.4%,26,-2.8%
NE,10-7,4,23.3%,2,31.2%,9,10.5%,5,16.5%,4,-12.8%,4,-14.8%,18,0.0%,21,-0.1%
LAR,12-5,5,21.6%,7,21.1%,8,10.6%,14,2.9%,5,-8.5%,6,-11.5%,4,2.5%,2,6.6%
SF,10-7,6,19.9%,5,25.2%,5,14.9%,4,16.8%,7,-7.4%,5,-12.1%,26,-2.4%,29,-3.7%
KC,12-5,7,17.3%,6,24.1%,3,18.1%,3,17.4%,24,4.5%,13,-2.5%,3,3.7%,4,4.2%
GB,13-4,8,11.8%,8,15.3%,2,20.2%,2,22.5%,22,3.6%,22,1.9%,32,-4.9%,32,-5.3%
SEA,7-10,9,11.7%,9,14.6%,7,12.7%,9,10.4%,21,3.5%,20,-0.1%,5,2.5%,6,4.1%
ARI,11-6,10,11.0%,16,0.9%,15,3.2%,17,-3.3%,6,-8.2%,9,-6.1%,20,-0.4%,25,-1.8%
IND,9-8,11,9.8%,10,13.0%,13,4.5%,13,3.4%,8,-5.0%,7,-9.2%,14,0.4%,17,0.5%
LAC,9-8,12,8.7%,11,10.9%,4,16.0%,6,16.0%,26,4.8%,27,5.7%,28,-2.4%,18,0.5%
CLE,8-9,13,4.8%,17,0.2%,14,4.2%,15,-1.0%,11,-2.5%,11,-5.3%,25,-1.9%,30,-4.1%
NO,9-8,14,4.7%,18,-0.2%,23,-10.6%,28,-17.9%,3,-15.0%,2,-17.2%,16,0.3%,16,0.5%
PHI,9-8,15,3.8%,12,3.2%,11,8.1%,10,7.3%,25,4.7%,26,5.0%,15,0.3%,15,1.0%
MIN,8-9,16,2.6%,19,-0.3%,16,2.6%,16,-1.6%,16,0.4%,19,-0.1%,13,0.4%,13,1.2%
CIN,10-7,17,-0.1%,14,1.8%,18,1.3%,12,4.5%,19,3.0%,24,4.6%,8,1.6%,10,1.9%
DEN,7-10,18,-1.4%,15,1.7%,12,5.5%,11,5.4%,20,3.0%,21,0.4%,30,-3.9%,28,-3.4%
BAL,8-9,19,-2.7%,24,-11.0%,17,1.7%,18,-3.7%,28,9.3%,31,12.3%,1,5.0%,3,5.0%
TEN,12-5,20,-3.0%,13,2.3%,20,-4.2%,21,-5.4%,12,-2.3%,8,-8.2%,23,-1.0%,23,-0.5%
LV,10-7,21,-5.0%,20,-2.3%,19,-3.5%,20,-4.4%,17,0.6%,15,-1.9%,21,-0.9%,19,0.2%
WAS,7-10,22,-10.1%,23,-9.2%,21,-5.3%,23,-9.6%,27,5.8%,18,-0.5%,12,1.0%,22,-0.1%
PIT,9-7-1,23,-10.2%,26,-12.5%,25,-11.0%,26,-15.5%,14,-0.6%,14,-2.1%,17,0.2%,14,1.0%
CHI,6-11,24,-10.6%,22,-6.6%,26,-13.6%,24,-12.3%,13,-0.9%,16,-1.9%,7,2.1%,8,3.8%
MIA,9-8,25,-10.9%,21,-5.6%,24,-10.8%,22,-8.4%,10,-2.9%,10,-5.6%,29,-2.9%,27,-2.8%
NYJ,4-13,26,-18.6%,25,-11.5%,22,-8.3%,19,-4.1%,32,14.4%,32,14.3%,2,4.1%,1,6.9%
CAR,5-12,27,-24.2%,31,-35.3%,31,-22.8%,31,-30.2%,15,-0.2%,23,4.3%,24,-1.6%,24,-0.8%
HOU,4-13,28,-24.3%,28,-21.2%,30,-22.0%,30,-20.2%,23,3.6%,25,4.9%,9,1.3%,7,4.0%
DET,3-13-1,29,-27.2%,29,-27.6%,29,-17.7%,29,-19.7%,29,10.8%,30,9.3%,10,1.3%,12,1.4%
ATL,7-10,30,-29.4%,27,-19.5%,28,-17.1%,25,-14.3%,30,11.3%,29,8.4%,22,-1.0%,9,3.1%
NYG,4-13,31,-29.6%,32,-39.4%,32,-28.1%,32,-41.7%,18,2.8%,17,-0.7%,11,1.3%,11,1.6%
JAX,3-14,32,-31.0%,30,-30.8%,27,-15.1%,27,-17.6%,31,11.7%,28,8.2%,31,-4.2%,31,-5.0%

