Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,4-1,1,38.7%,1,38.7%,7,14.9%,7,14.9%,2,-21.8%,2,-21.8%,8,2.0%,8,2.0%
PHI,5-0,2,31.9%,2,31.9%,5,16.1%,5,16.1%,5,-18.7%,5,-18.7%,26,-2.9%,26,-2.9%
BAL,3-2,3,27.4%,3,27.4%,2,19.3%,2,19.3%,14,1.4%,14,1.4%,1,9.4%,1,9.4%
TB,3-2,4,24.0%,4,24.0%,13,5.2%,13,5.2%,3,-20.6%,3,-20.6%,23,-1.8%,23,-1.8%
SF,3-2,5,22.2%,5,22.2%,16,0.8%,16,0.8%,1,-26.5%,1,-26.5%,29,-5.1%,29,-5.1%
DAL,4-1,6,20.3%,6,20.3%,17,-1.2%,17,-1.2%,6,-18.6%,6,-18.6%,5,2.9%,5,2.9%
JAX,2-3,7,16.4%,7,16.4%,15,3.7%,15,3.7%,7,-11.9%,7,-11.9%,17,0.8%,17,0.8%
KC,4-1,8,14.7%,8,14.7%,3,18.6%,3,18.6%,15,3.3%,15,3.3%,20,-0.6%,20,-0.6%
GB,3-2,9,7.5%,9,7.5%,8,13.4%,8,13.4%,23,7.1%,23,7.1%,10,1.3%,10,1.3%
SEA,2-3,10,6.7%,10,6.7%,1,21.3%,1,21.3%,31,15.4%,31,15.4%,15,0.8%,15,0.8%
LAC,3-2,11,6.4%,11,6.4%,9,9.4%,9,9.4%,13,1.3%,13,1.3%,22,-1.7%,22,-1.7%
CLE,2-3,12,1.4%,12,1.4%,4,16.3%,4,16.3%,30,13.9%,30,13.9%,21,-1.1%,21,-1.1%
DEN,2-3,13,0.7%,13,0.7%,27,-14.7%,27,-14.7%,4,-19.2%,4,-19.2%,28,-3.8%,28,-3.8%
CIN,2-3,14,0.6%,14,0.6%,25,-12.0%,25,-12.0%,8,-11.8%,8,-11.8%,16,0.8%,16,0.8%
ATL,2-3,15,0.2%,15,0.2%,10,7.4%,10,7.4%,27,9.3%,27,9.3%,7,2.1%,7,2.1%
NE,2-3,16,0.2%,16,0.2%,22,-4.5%,22,-4.5%,9,-3.6%,9,-3.6%,13,1.0%,13,1.0%
NYJ,3-2,17,-2.7%,17,-2.7%,21,-3.5%,21,-3.5%,21,5.4%,21,5.4%,2,6.2%,2,6.2%
NYG,4-1,18,-3.0%,18,-3.0%,12,5.6%,12,5.6%,25,8.4%,25,8.4%,19,-0.2%,19,-0.2%
MIA,3-2,19,-3.1%,19,-3.1%,6,14.9%,6,14.9%,29,12.1%,29,12.1%,30,-5.9%,30,-5.9%
MIN,4-1,20,-5.9%,20,-5.9%,11,6.4%,11,6.4%,28,10.0%,28,10.0%,24,-2.2%,24,-2.2%
TEN,3-2,21,-5.9%,21,-5.9%,18,-1.7%,18,-1.7%,20,5.2%,20,5.2%,14,1.0%,14,1.0%
NO,2-3,22,-7.5%,22,-7.5%,20,-3.3%,20,-3.3%,12,-2.6%,12,-2.6%,32,-6.7%,32,-6.7%
LV,1-4,23,-7.7%,23,-7.7%,19,-1.9%,19,-1.9%,22,6.8%,22,6.8%,12,1.1%,12,1.1%
DET,1-4,24,-12.7%,24,-12.7%,14,5.0%,14,5.0%,32,19.1%,32,19.1%,9,1.5%,9,1.5%
LAR,2-3,25,-15.9%,25,-15.9%,26,-12.4%,26,-12.4%,10,-3.0%,10,-3.0%,31,-6.5%,31,-6.5%
ARI,2-3,26,-16.4%,26,-16.4%,23,-5.6%,23,-5.6%,26,8.6%,26,8.6%,25,-2.2%,25,-2.2%
PIT,1-4,27,-18.5%,27,-18.5%,24,-10.9%,24,-10.9%,16,3.9%,16,3.9%,27,-3.6%,27,-3.6%
CHI,2-3,28,-18.8%,28,-18.8%,29,-18.6%,29,-18.6%,18,4.1%,18,4.1%,4,4.0%,4,4.0%
HOU,1-3-1,29,-19.5%,29,-19.5%,28,-15.5%,28,-15.5%,24,8.1%,24,8.1%,3,4.1%,3,4.1%
WAS,1-4,30,-22.2%,30,-22.2%,30,-19.2%,30,-19.2%,19,4.2%,19,4.2%,11,1.2%,11,1.2%
CAR,1-4,31,-23.7%,31,-23.7%,31,-22.1%,31,-22.1%,17,4.0%,17,4.0%,6,2.4%,6,2.4%
IND,2-2-1,32,-31.5%,32,-31.5%,32,-35.2%,32,-35.2%,11,-2.9%,11,-2.9%,18,0.7%,18,0.7%

